cLabel,cArea,cVolum,cPerim,cFeret,cMajor,cMinor,cSolid,cRound,cCircl,cY,cX,csRatio,csDist,c_sLabel
3,8192.000,557761.734,333.220,107.703,105.555,98.836,0.984,0.936,0.927,106.000,1590.000,0.618,2.000,3
5,3704.000,169578.296,221.823,71.694,69.123,68.224,0.976,0.987,0.946,154.000,2772.000,0.593,0.000,4
6,8168.000,555312.429,335.563,111.893,109.290,95.538,0.979,0.871,0.912,196.000,1810.000,0.306,46.819,5
7,8996.000,641856.540,349.706,110.725,107.764,106.310,0.982,0.986,0.924,204.000,2102.000,0.600,0.000,6
8,8064.000,544740.392,332.534,109.179,106.994,96.416,0.980,0.897,0.916,214.000,1342.000,0.289,64.031,7
9,8436.000,582865.912,345.505,114.140,112.641,96.064,0.978,0.847,0.888,240.000,1566.000,0.303,44.944,8
10,8644.000,604555.167,341.706,109.563,106.648,103.241,0.982,0.968,0.930,286.000,1430.000,0.309,49.679,7
11,7960.000,534236.310,328.250,108.167,105.007,96.708,0.982,0.919,0.928,286.000,1780.000,0.299,48.083,5
12,8224.000,561033.059,334.877,110.923,107.214,97.846,0.980,0.911,0.922,294.000,1650.000,0.295,54.918,8
13,9300.000,674665.066,354.877,112.925,110.491,107.180,0.984,0.970,0.928,304.000,2488.000,0.605,0.000,9
14,9124.000,655604.182,349.706,112.606,109.104,106.492,0.985,0.976,0.938,326.000,2158.000,0.636,0.000,10
15,8420.000,581208.474,337.220,107.703,104.623,102.472,0.982,0.979,0.930,404.000,1498.000,0.608,0.000,11
16,8940.000,635872.552,346.877,110.923,106.967,106.442,0.984,0.995,0.934,424.000,1704.000,0.590,2.828,12
17,8132.000,551645.215,333.220,112.730,107.719,96.293,0.981,0.892,0.920,502.000,1590.000,0.296,54.000,13
18,8768.000,617610.416,343.362,110.635,108.018,103.378,0.983,0.957,0.935,568.000,1724.000,0.573,0.000,14
19,8660.000,606234.487,345.907,112.161,110.497,100.076,0.979,0.903,0.910,604.000,1590.000,0.316,48.000,13
20,10028.000,755414.450,370.191,118.186,116.623,109.669,0.980,0.939,0.920,646.000,906.000,0.668,2.828,15
21,8500.000,589511.374,338.392,108.240,104.852,103.247,0.983,0.984,0.933,696.000,1472.000,0.694,0.000,16
22,9280.000,672489.898,356.534,112.641,110.130,107.340,0.980,0.974,0.917,710.000,2346.000,0.667,2.000,17
23,8976.000,639717.257,347.362,111.086,107.373,106.464,0.984,0.991,0.935,718.000,1730.000,0.586,2.000,18
24,8524.000,592009.890,340.049,108.683,105.799,102.610,0.980,0.970,0.926,746.000,1596.000,0.631,4.472,19
25,8696.000,610018.628,344.049,109.563,106.767,103.754,0.981,0.971,0.923,766.000,2228.000,0.643,0.000,20
26,12048.000,994801.058,493.588,162.049,168.606,98.565,0.906,0.540,0.621,846.000,1466.000,0.653,0.000,21
27,8704.000,610860.613,344.049,110.635,107.877,102.766,0.983,0.952,0.924,834.000,1810.000,0.640,0.000,22
28,8656.000,605814.511,344.049,110.055,107.023,102.997,0.980,0.962,0.919,854.000,1672.000,0.587,0.000,23
29,8804.000,621418.032,344.049,110.073,107.042,104.725,0.985,0.978,0.935,878.000,2146.000,0.627,2.000,25
30,8704.000,610860.613,343.563,109.179,105.563,105.009,0.982,0.994,0.927,884.000,2290.000,0.623,0.000,26
32,10428.000,801060.531,377.019,120.067,117.020,113.516,0.982,0.970,0.922,930.000,888.000,0.604,0.000,27
33,8888.000,630332.746,347.362,111.803,108.254,104.565,0.983,0.966,0.926,944.000,386.000,0.662,2.828,29
34,8840.000,625233.440,347.362,112.161,108.448,103.829,0.979,0.957,0.921,944.000,1562.000,0.542,0.000,28
35,8276.000,566362.543,333.706,106.733,103.523,101.792,0.984,0.983,0.934,958.000,1950.000,0.687,2.000,30
36,9176.000,661216.843,352.534,112.089,108.982,107.212,0.982,0.984,0.928,962.000,2612.000,0.636,0.000,31
38,8552.000,594929.273,340.049,108.259,105.371,103.352,0.982,0.981,0.929,964.000,1768.000,0.621,2.000,32
41,8900.000,631609.728,346.191,110.218,107.394,105.563,0.985,0.983,0.933,998.000,2072.000,0.608,2.828,35
43,9324.000,677278.357,356.534,115.169,112.700,105.414,0.981,0.935,0.922,1016.000,1210.000,0.595,0.000,36
44,8880.000,629481.903,346.877,111.086,108.307,104.398,0.980,0.964,0.927,1018.000,1072.000,0.614,0.000,37
45,8544.000,594094.675,341.706,107.870,105.090,103.527,0.978,0.985,0.920,1018.000,2290.000,0.618,0.000,38
46,8468.000,586185.504,341.421,113.508,113.353,95.321,0.981,0.839,0.913,1028.000,284.000,0.317,50.040,39
47,8640.000,604135.580,341.220,109.417,106.743,103.076,0.984,0.965,0.933,1066.000,948.000,0.706,2.828,43
