sLabel,sArea,sVolum,sPerim,sFeret,sMajor,sMinor,sSolid,sRound,sCircl,sY,sX,sCore,s_cLabel,s_cArea,s_cVolum,s_cPerim,s_cFeret,s_cMajor,s_cMinor,s_cSolid,s_cRound,s_cCircl,s_csRatio,s_csDist
3,13256.000,1148107.472,430.960,136.132,131.702,128.235,0.979,0.973,0.897,108.000,1590.000,1,[3],8192.000,557761.734,333.220,107.703,105.555,98.836,0.984,0.936,0.927,0.618,2.000
4,6248.000,371514.126,291.078,94.340,89.856,88.639,0.980,0.985,0.927,154.000,2772.000,1,[5],3704.000,169578.296,221.823,71.694,69.123,68.224,0.976,0.987,0.946,0.593,0.000
5,26664.000,3275305.023,640.500,229.687,234.830,145.568,0.978,0.616,0.817,240.000,1794.000,2,"[6, 11]",8064.000,544774.369,331.907,110.030,107.148,96.123,0.981,0.895,0.920,0.302,47.451
6,15004.000,1382529.425,454.960,142.618,139.374,137.123,0.985,0.983,0.911,204.000,2102.000,1,[7],8996.000,641856.540,349.706,110.725,107.764,106.310,0.982,0.986,0.924,0.600,0.000
7,27944.000,3513958.751,676.666,247.386,258.215,140.112,0.963,0.534,0.767,254.000,1392.000,2,"[8, 10]",8354.000,574647.780,337.120,109.371,106.821,99.829,0.981,0.932,0.923,0.299,56.855
8,27852.000,3496619.539,658.039,241.346,246.006,145.053,0.980,0.586,0.808,264.000,1604.000,2,"[9, 12]",8330.000,571949.485,340.191,112.532,109.928,96.955,0.979,0.879,0.905,0.299,49.931
9,15360.000,1432025.079,457.789,144.997,141.756,138.020,0.987,0.973,0.921,304.000,2488.000,1,[13],9300.000,674665.066,354.877,112.925,110.491,107.180,0.984,0.970,0.928,0.605,0.000
10,14352.000,1293398.756,445.789,138.852,135.730,134.658,0.983,0.992,0.908,326.000,2158.000,1,[14],9124.000,655604.182,349.706,112.606,109.104,106.492,0.985,0.976,0.938,0.636,0.000
11,13852.000,1226401.081,436.132,136.953,133.551,132.093,0.984,0.989,0.915,404.000,1498.000,1,[15],8420.000,581208.474,337.220,107.703,104.623,102.472,0.982,0.979,0.930,0.608,0.000
12,15160.000,1404147.083,455.446,146.328,140.822,137.134,0.985,0.973,0.918,422.000,1702.000,1,[16],8940.000,635872.552,346.877,110.923,106.967,106.442,0.984,0.995,0.934,0.590,2.828
13,27428.000,3417078.937,663.529,240.707,251.931,140.769,0.962,0.550,0.783,556.000,1590.000,2,"[17, 19]",8396.000,578939.851,339.563,112.445,109.108,98.185,0.980,0.898,0.915,0.306,51.000
14,15304.000,1424200.834,458.274,144.180,140.389,138.835,0.983,0.989,0.916,568.000,1724.000,1,[18],8768.000,617610.416,343.362,110.635,108.018,103.378,0.983,0.957,0.935,0.573,0.000
15,15016.000,1384188.350,454.759,142.899,139.318,137.284,0.984,0.985,0.912,648.000,904.000,1,[20],10028.000,755414.450,370.191,118.186,116.623,109.669,0.980,0.939,0.920,0.668,2.828
16,12244.000,1019175.046,410.475,129.120,126.253,123.519,0.982,0.978,0.913,696.000,1472.000,1,[21],8500.000,589511.374,338.392,108.240,104.852,103.247,0.983,0.984,0.933,0.694,0.000
17,13916.000,1234910.350,434.475,138.708,135.156,131.120,0.986,0.970,0.926,712.000,2346.000,1,[22],9280.000,672489.898,356.534,112.641,110.130,107.340,0.980,0.974,0.917,0.667,2.000
18,15316.000,1425876.255,458.759,143.694,140.298,139.035,0.984,0.991,0.915,718.000,1728.000,1,[23],8976.000,639717.257,347.362,111.086,107.373,106.464,0.984,0.991,0.935,0.586,2.000
19,13504.000,1180476.767,433.304,137.244,133.527,128.924,0.981,0.964,0.904,742.000,1594.000,1,[24],8524.000,592009.890,340.049,108.683,105.799,102.610,0.980,0.970,0.926,0.631,4.472
20,13516.000,1182050.619,433.789,137.928,133.958,128.540,0.981,0.959,0.903,766.000,2228.000,1,[25],8696.000,610018.628,344.049,109.563,106.767,103.754,0.981,0.971,0.923,0.643,0.000
21,18448.000,1884897.486,525.671,186.011,187.311,126.605,0.979,0.669,0.839,846.000,1466.000,1,[26],12048.000,994801.058,493.588,162.049,168.606,98.565,0.906,0.540,0.621,0.653,0.000
22,13604.000,1193613.536,430.274,137.768,133.810,129.515,0.984,0.967,0.923,834.000,1810.000,1,[27],8704.000,610860.613,344.049,110.635,107.877,102.766,0.983,0.952,0.924,0.640,0.000
23,14740.000,1346201.362,450.274,142.394,139.215,134.835,0.981,0.968,0.914,854.000,1672.000,1,[28],8656.000,605814.511,344.049,110.055,107.023,102.997,0.980,0.962,0.919,0.587,0.000
25,14040.000,1251452.764,440.132,139.671,135.399,132.060,0.982,0.975,0.911,878.000,2144.000,1,[29],8804.000,621418.032,344.049,110.073,107.042,104.725,0.985,0.978,0.935,0.627,2.000
26,13972.000,1242372.031,438.960,138.246,133.814,132.959,0.983,0.993,0.911,884.000,2290.000,1,[30],8704.000,610860.613,343.563,109.179,105.563,105.009,0.982,0.994,0.927,0.623,0.000
27,17268.000,1706973.820,483.730,155.242,151.512,145.250,0.989,0.958,0.927,930.000,888.000,1,[32],10428.000,801060.531,377.019,120.067,117.020,113.516,0.982,0.970,0.922,0.604,0.000
28,16320.000,1568353.769,473.789,149.893,145.133,143.278,0.984,0.986,0.914,944.000,1562.000,1,[34],8840.000,625233.440,347.362,112.161,108.448,103.829,0.979,0.957,0.921,0.542,0.000
29,13436.000,1171571.486,428.132,134.536,131.132,130.491,0.984,0.995,0.921,942.000,384.000,1,[33],8888.000,630332.746,347.362,111.803,108.254,104.565,0.983,0.966,0.926,0.662,2.828
30,12044.000,994305.680,405.990,127.122,124.405,123.281,0.983,0.991,0.918,958.000,1952.000,1,[35],8276.000,566362.543,333.706,106.733,103.523,101.792,0.984,0.983,0.934,0.687,2.000
31,14420.000,1302601.851,444.132,140.014,136.430,134.653,0.984,0.986,0.919,962.000,2612.000,1,[36],9176.000,661216.843,352.534,112.089,108.982,107.212,0.982,0.984,0.928,0.636,0.000
32,13764.000,1214732.906,433.304,136.059,133.013,131.778,0.984,0.991,0.921,962.000,1768.000,1,[38],8552.000,594929.273,340.049,108.259,105.371,103.352,0.982,0.981,0.929,0.621,2.000
35,14648.000,1333617.535,452.416,144.886,139.708,133.590,0.982,0.956,0.899,1000.000,2074.000,1,[41],8900.000,631609.728,346.191,110.218,107.394,105.563,0.985,0.983,0.933,0.608,2.828
36,15660.000,1474183.130,465.789,146.492,144.183,138.367,0.983,0.959,0.907,1016.000,1210.000,1,[43],9324.000,677278.357,356.534,115.169,112.700,105.414,0.981,0.935,0.922,0.595,0.000
37,14460.000,1308025.587,447.446,140.684,136.272,135.151,0.980,0.991,0.908,1018.000,1072.000,1,[44],8880.000,629481.903,346.877,111.086,108.307,104.398,0.980,0.964,0.927,0.614,0.000
38,13820.000,1222153.807,434.960,138.159,133.599,131.754,0.985,0.986,0.918,1018.000,2290.000,1,[45],8544.000,594094.675,341.706,107.870,105.090,103.527,0.978,0.985,0.920,0.618,0.000
39,26700.000,3281940.417,634.558,227.271,234.155,146.061,0.977,0.620,0.833,1078.000,286.000,2,"[46, 55]",8588.000,598733.627,344.492,115.003,114.342,95.969,0.980,0.836,0.909,0.322,48.042
40,17304.000,1712314.601,486.759,154.777,150.697,146.255,0.987,0.970,0.918,1072.000,778.000,1,[48],9524.000,699186.252,360.534,116.362,112.020,108.404,0.981,0.966,0.921,0.550,2.000
41,15688.000,1478138.644,467.730,149.091,144.108,138.785,0.981,0.962,0.901,1074.000,428.000,1,[49],9108.000,653880.420,350.877,113.719,110.750,104.761,0.983,0.945,0.930,0.581,4.472
42,13564.000,1188353.014,430.475,136.191,133.481,129.446,0.985,0.969,0.920,1070.000,1500.000,1,[50],8424.000,581622.686,337.220,109.417,106.006,101.212,0.982,0.954,0.931,0.621,0.000
43,12240.000,1018675.654,411.161,129.321,126.062,123.705,0.979,0.981,0.910,1068.000,950.000,1,[47],8640.000,604135.580,341.220,109.417,106.743,103.076,0.984,0.965,0.933,0.706,2.828
44,14492.000,1312369.982,444.818,140.684,137.393,134.338,0.985,0.977,0.920,1078.000,1634.000,1,[52],8700.000,610439.572,342.877,109.417,106.301,104.223,0.983,0.980,0.930,0.600,0.000
46,16096.000,1536175.185,474.274,148.122,143.820,142.549,0.982,0.991,0.899,1100.000,2176.000,1,[53],8976.000,639717.257,349.220,112.161,108.423,105.497,0.982,0.972,0.925,0.558,2.000
47,16048.000,1529308.751,472.617,148.054,144.227,141.759,0.984,0.982,0.903,1110.000,1322.000,1,[54],9620.000,709784.332,362.191,115.447,112.391,109.028,0.980,0.970,0.922,0.599,2.000
48,14664.000,1335803.196,445.789,142.127,137.728,135.605,0.987,0.984,0.927,1134.000,2354.000,1,[57],8928.000,634592.701,346.877,111.517,108.640,104.692,0.984,0.963,0.932,0.609,0.000
49,14116.000,1261627.872,442.274,139.270,135.099,133.074,0.980,0.985,0.907,1136.000,150.000,1,[56],8512.000,590760.192,340.049,107.703,104.986,103.243,0.980,0.983,0.925,0.603,0.000
50,12872.000,1098582.931,425.304,134.164,129.680,126.461,0.978,0.975,0.894,1150.000,1052.000,1,[58],8420.000,581208.474,337.220,107.703,104.929,102.173,0.982,0.974,0.930,0.654,0.000
51,14768.000,1350039.035,450.960,149.586,144.049,130.678,0.985,0.906,0.913,1176.000,1184.000,1,[59],8692.000,609597.780,341.706,110.164,106.328,104.153,0.984,0.979,0.935,0.589,4.000
52,11996.000,988367.567,404.818,128.577,123.899,123.293,0.983,0.995,0.920,1182.000,894.000,1,[61],8168.000,555312.429,333.220,106.000,103.285,100.716,0.981,0.975,0.924,0.681,0.000
53,12284.000,1024173.447,414.475,131.042,126.409,123.795,0.977,0.979,0.899,1180.000,1438.000,1,[60],8620.000,602039.102,341.706,107.870,105.450,104.085,0.982,0.987,0.928,0.702,0.000
54,13332.000,1157995.196,429.304,135.248,131.765,128.846,0.981,0.978,0.909,1186.000,1730.000,1,[62],8216.000,560214.630,333.220,105.906,103.316,101.266,0.981,0.980,0.930,0.616,0.000
55,12944.000,1107813.254,421.789,134.373,129.638,127.208,0.984,0.981,0.914,1198.000,716.000,1,[63],8628.000,602877.402,341.706,110.923,107.503,102.234,0.981,0.951,0.929,0.667,2.828
56,13352.000,1160601.923,429.789,136.308,134.296,126.666,0.981,0.943,0.908,1206.000,452.000,1,[64],8936.000,635445.839,350.191,115.378,112.484,101.194,0.979,0.899,0.916,0.669,0.000
57,14448.000,1306397.678,447.446,140.071,136.962,134.352,0.982,0.981,0.907,1220.000,1860.000,1,[66],8780.000,618878.755,344.534,109.636,106.307,105.226,0.983,0.989,0.929,0.608,2.000
58,12456.000,1045759.214,415.161,131.027,127.285,124.689,0.980,0.979,0.908,1216.000,580.000,1,[65],8352.000,574181.941,337.220,110.309,107.030,99.382,0.980,0.928,0.923,0.671,0.000
60,13724.000,1209441.494,435.647,136.499,133.062,131.358,0.984,0.987,0.909,1250.000,1328.000,1,[68],8676.000,607915.358,342.877,109.289,106.249,103.993,0.982,0.979,0.927,0.632,0.000
61,14488.000,1311826.671,445.789,141.421,138.244,133.532,0.983,0.965,0.916,1254.000,244.000,1,[69],8956.000,637580.356,348.534,110.923,108.042,105.616,0.982,0.977,0.926,0.618,0.000
62,12808.000,1090399.839,424.132,134.536,130.344,125.173,0.978,0.960,0.895,1268.000,1000.000,1,[70],8368.000,575832.679,337.220,109.417,106.622,99.964,0.980,0.937,0.925,0.653,0.000
63,14920.000,1370935.539,457.304,144.803,138.801,137.050,0.979,0.986,0.897,1270.000,2330.000,1,[71],8640.000,604135.580,343.563,109.563,106.902,102.941,0.980,0.963,0.920,0.579,2.000
64,13184.000,1138766.262,425.990,133.776,130.973,128.203,0.983,0.979,0.913,1278.000,2174.000,1,[72],8400.000,579138.890,337.220,107.703,104.788,102.070,0.981,0.974,0.928,0.637,0.000
65,13052.000,1121706.917,424.132,133.821,130.210,127.656,0.983,0.980,0.912,1296.000,840.000,1,[74],8032.000,541501.108,329.220,105.262,102.168,100.095,0.982,0.980,0.931,0.615,2.000
66,13060.000,1122738.372,420.818,132.484,129.301,128.605,0.985,0.995,0.927,1296.000,1608.000,1,[73],8500.000,589511.374,338.877,107.703,105.025,103.056,0.981,0.981,0.930,0.651,0.000
67,33572.000,4627320.937,737.955,269.904,279.017,155.950,0.965,0.549,0.775,1370.000,1124.000,2,"[75, 89]",9724.000,725700.117,364.049,119.238,117.146,105.484,0.982,0.899,0.918,0.290,61.230
68,13988.000,1244506.690,437.789,137.768,134.667,132.301,0.986,0.982,0.917,1304.000,1476.000,1,[76],8436.000,582865.912,338.392,108.407,105.238,102.094,0.980,0.970,0.926,0.603,2.828
69,14784.000,1352233.625,453.304,143.220,138.006,136.491,0.981,0.988,0.904,1324.000,664.000,1,[77],8692.000,609597.780,342.877,108.462,105.664,104.740,0.981,0.991,0.929,0.588,0.000
70,14380.000,1297185.631,444.132,139.284,135.960,134.697,0.984,0.990,0.916,1330.000,1774.000,1,[79],8540.000,593677.523,340.049,108.240,105.307,103.256,0.982,0.981,0.928,0.594,0.000
71,11948.000,982441.323,408.818,129.074,125.170,121.623,0.977,0.971,0.898,1332.000,438.000,1,[78],8104.000,548798.542,332.049,105.679,102.992,100.205,0.979,0.973,0.924,0.678,0.000
72,15920.000,1511048.470,466.274,146.820,143.081,141.703,0.985,0.990,0.920,1346.000,1954.000,1,[81],8640.000,604135.580,344.534,111.893,110.549,99.642,0.980,0.900,0.915,0.543,2.828
73,14004.000,1246642.571,441.304,140.656,135.728,131.497,0.981,0.968,0.904,1342.000,138.000,1,[80],8960.000,638007.545,348.534,111.086,107.952,105.693,0.982,0.979,0.927,0.640,0.000
74,6060.000,354872.819,337.990,135.440,132.450,59.221,0.930,0.440,0.667,1344.000,2406.000,0,[],,,,,,,,,,,
75,14596.000,1326522.383,450.274,140.684,136.713,136.006,0.982,0.994,0.905,1370.000,1264.000,1,[82],8612.000,601201.191,341.220,109.252,106.785,102.745,0.983,0.962,0.929,0.590,2.000
76,14296.000,1285836.085,442.960,142.394,138.182,131.824,0.983,0.953,0.916,1376.000,312.000,1,[83],8980.000,640144.923,353.706,111.606,107.446,106.599,0.976,0.990,0.902,0.628,2.000
77,15912.000,1509909.632,469.789,147.146,143.471,141.357,0.982,0.984,0.906,1390.000,2090.000,1,[85],8728.000,613388.892,343.362,112.161,108.035,102.990,0.983,0.952,0.930,0.549,2.000
78,11988.000,987379.035,407.161,128.406,124.948,122.208,0.981,0.978,0.909,1384.000,946.000,1,[84],8172.000,555720.397,331.563,106.471,103.405,100.642,0.984,0.973,0.934,0.682,0.000
79,15460.000,1446032.436,463.931,146.697,143.391,137.368,0.982,0.957,0.903,1404.000,2302.000,1,[87],8960.000,638007.545,346.877,111.893,109.121,104.569,0.985,0.958,0.936,0.580,2.828
80,13380.000,1164254.621,442.759,147.513,133.445,128.733,0.968,0.957,0.858,1402.000,2476.000,1,[86],9144.000,657761.010,352.534,113.508,110.209,105.661,0.982,0.959,0.925,0.683,2.000
81,14536.000,1318351.361,445.588,146.779,141.831,130.554,0.986,0.920,0.920,1414.000,770.000,1,[88],8240.000,562671.111,336.534,106.677,104.737,100.246,0.980,0.956,0.914,0.567,2.000
82,12284.000,1024173.447,413.304,129.553,126.276,123.952,0.981,0.981,0.904,1420.000,1676.000,1,[90],8156.000,554089.124,332.049,106.471,103.898,99.969,0.982,0.962,0.930,0.664,0.000
83,13600.000,1193087.135,434.960,137.084,134.175,129.108,0.981,0.962,0.903,1442.000,506.000,1,[91],8352.000,574181.941,336.049,106.977,103.825,102.437,0.982,0.987,0.929,0.614,0.000
84,15732.000,1484361.587,467.931,146.697,142.434,140.707,0.981,0.987,0.903,1466.000,642.000,1,[92],9932.000,744592.859,367.362,116.017,113.613,111.315,0.983,0.980,0.925,0.631,2.000
85,13060.000,1122738.372,429.304,134.462,129.927,128.115,0.978,0.985,0.890,1480.000,1984.000,1,[93],8216.000,560214.630,334.392,106.677,104.288,100.387,0.979,0.962,0.923,0.629,2.000
86,12368.000,1034696.584,415.647,131.027,127.079,123.970,0.981,0.975,0.900,1494.000,2182.000,1,[94],8248.000,563490.734,333.220,107.424,104.129,100.862,0.982,0.969,0.933,0.667,0.000
87,14720.000,1343462.397,454.960,143.178,140.118,134.250,0.981,0.955,0.894,1514.000,956.000,1,[95],9016.000,643998.202,348.049,114.018,111.576,102.950,0.986,0.922,0.935,0.613,2.000
88,25344.000,3035124.708,591.813,183.967,180.350,178.936,0.985,0.992,0.909,1566.000,1626.000,1,[96],17716.000,1773831.274,494.073,154.260,151.406,148.992,0.985,0.984,0.912,0.699,0.000
89,13072.000,1124286.146,424.132,134.239,130.441,127.667,0.981,0.978,0.913,1604.000,1880.000,1,[97],7860.000,524200.727,326.392,104.785,102.436,97.709,0.981,0.954,0.927,0.601,0.000
90,21464.000,2365537.242,548.014,170.000,166.344,164.347,0.984,0.988,0.898,1624.000,2028.000,1,[98],13276.000,1150706.764,429.304,136.015,131.674,128.579,0.982,0.975,0.905,0.619,2.000
91,23348.000,2683726.949,568.500,180.189,174.369,170.527,0.987,0.978,0.908,1632.000,406.000,1,[99],16284.000,1563167.226,471.446,148.499,145.587,142.427,0.986,0.978,0.921,0.697,0.000
92,16628.000,1612960.842,478.759,151.420,146.297,144.807,0.984,0.989,0.912,1728.000,1614.000,1,[100],9260.000,670317.072,356.049,118.186,114.879,102.662,0.981,0.893,0.918,0.557,2.000
93,26944.000,3327031.441,639.730,233.452,239.852,144.121,0.982,0.596,0.827,1750.000,1870.000,2,"[101, 102]",8292.000,568006.554,335.563,111.336,108.040,97.994,0.982,0.904,0.925,0.308,51.095
94,14100.000,1259483.462,440.132,140.186,136.407,131.674,0.982,0.965,0.915,1800.000,2046.000,1,[103],8736.000,614232.424,341.220,110.309,107.623,103.380,0.986,0.960,0.943,0.620,2.000
96,29604.000,3831681.424,670.156,242.099,246.458,153.640,0.982,0.621,0.828,1888.000,146.000,2,"[105, 108]",9204.000,664285.211,357.848,120.744,117.539,100.644,0.981,0.854,0.903,0.311,48.508
97,26564.000,3256896.876,644.701,234.776,242.422,140.721,0.977,0.576,0.803,1914.000,1590.000,2,"[106, 109]",8496.000,589145.441,341.463,111.633,110.139,98.493,0.981,0.892,0.916,0.320,49.254
98,14928.000,1372038.316,450.960,142.352,139.095,136.674,0.986,0.982,0.922,1904.000,686.000,1,[107],9568.000,704037.108,359.362,114.018,110.845,109.914,0.984,0.992,0.931,0.641,2.000
99,28196.000,3561599.266,647.529,232.835,236.324,152.319,0.987,0.643,0.845,2024.000,1440.000,2,"[110, 112]",8684.000,608872.670,345.463,115.739,113.652,97.659,0.982,0.856,0.914,0.308,47.076
