cLabel,cArea,cVolum,cPerim,cFeret,cMajor,cMinor,cSolid,cRound,cCircl,cY,cX,csRatio,csDist,c_sLabel
6,8788.000,619724.795,344.534,109.636,106.895,104.683,0.983,0.979,0.930,106.000,68.000,0.647,0.000,8
7,8368.000,575832.679,334.877,107.870,105.418,101.075,0.984,0.959,0.938,118.000,226.000,0.591,0.000,9
8,9052.000,647859.182,348.049,111.427,107.808,106.928,0.986,0.992,0.939,140.000,2260.000,0.676,0.000,10
9,8352.000,574181.941,336.049,108.407,105.579,100.734,0.982,0.954,0.929,148.000,942.000,0.670,2.828,11
10,8580.000,597853.439,340.049,108.407,106.287,102.802,0.983,0.967,0.932,160.000,712.000,0.663,0.000,13
11,9188.000,662514.336,352.049,113.719,109.990,106.405,0.982,0.967,0.932,164.000,2120.000,0.590,2.000,12
12,9580.000,705362.008,361.019,118.457,115.013,106.069,0.981,0.922,0.924,170.000,1694.000,0.389,42.802,14
14,8604.000,600363.669,340.049,108.462,105.135,104.204,0.983,0.991,0.935,198.000,1210.000,0.608,0.000,16
15,8988.000,641000.541,348.534,112.089,109.135,104.881,0.983,0.961,0.930,196.000,1490.000,0.634,0.000,17
16,9600.000,707572.018,358.877,114.769,112.006,109.142,0.985,0.974,0.937,200.000,2520.000,0.651,0.000,18
17,8328.000,571708.797,334.392,107.424,103.685,102.321,0.985,0.986,0.936,212.000,832.000,0.731,2.000,20
18,10672.000,829339.833,379.848,120.067,117.294,115.862,0.984,0.988,0.929,216.000,1860.000,0.678,0.000,19
19,8756.000,616342.946,344.049,113.296,110.316,101.097,0.985,0.916,0.930,220.000,2658.000,0.598,2.000,21
20,8736.000,614232.424,344.534,108.462,105.826,105.108,0.980,0.993,0.925,230.000,308.000,0.597,2.000,23
21,15848.000,1500809.237,465.103,147.092,144.927,139.270,0.986,0.961,0.921,240.000,1064.000,0.700,0.000,22
22,8528.000,592426.651,340.049,107.424,104.802,103.636,0.981,0.989,0.927,236.000,162.000,0.656,0.000,24
23,4464.000,224362.401,243.966,79.120,76.313,74.485,0.977,0.976,0.942,232.000,1610.000,0.181,61.612,14
24,5724.000,325771.613,276.936,90.620,88.224,82.619,0.980,0.936,0.938,240.000,624.000,0.276,51.923,25
25,8284.000,567183.954,340.735,115.551,115.481,91.927,0.980,0.791,0.897,266.000,536.000,0.399,39.850,25
26,8328.000,571708.797,335.078,110.164,108.434,98.078,0.984,0.902,0.932,266.000,1376.000,0.313,50.040,27
27,8776.000,618455.879,342.877,109.636,106.553,104.875,0.984,0.984,0.938,300.000,2160.000,0.609,0.000,28
28,8652.000,605394.633,341.706,108.683,105.870,104.049,0.981,0.983,0.931,304.000,1726.000,0.670,0.000,29
30,8232.000,561851.886,332.534,106.301,103.345,101.431,0.982,0.981,0.935,334.000,1184.000,0.612,2.828,31
31,9412.000,686889.184,356.049,114.612,111.884,107.143,0.985,0.957,0.933,338.000,2732.000,0.654,2.000,32
32,8560.000,595764.261,340.049,109.124,106.189,102.661,0.982,0.967,0.930,336.000,796.000,0.653,0.000,33
33,9276.000,672055.145,355.362,113.649,110.928,106.570,0.983,0.960,0.923,356.000,2594.000,0.594,0.000,34
34,7696.000,507880.325,321.220,102.956,99.730,98.270,0.983,0.985,0.937,356.000,2042.000,0.710,0.000,35
35,4688.000,241460.005,262.865,86.833,79.333,75.737,0.948,0.948,0.853,356.000,250.000,0.238,50.990,36
36,8416.000,580794.360,337.706,106.977,104.391,102.659,0.982,0.983,0.927,368.000,660.000,0.668,0.000,37
37,8312.000,570062.013,334.392,106.677,103.818,101.945,0.983,0.982,0.934,366.000,950.000,0.649,2.828,38
38,8616.000,601620.097,343.362,111.086,107.236,102.382,0.980,0.954,0.918,366.000,1850.000,0.623,2.828,39
39,8376.000,576658.640,339.078,111.140,109.873,97.433,0.981,0.883,0.915,366.000,1384.000,0.315,50.359,27
40,8224.000,561033.059,339.563,111.893,112.069,94.212,0.974,0.834,0.896,374.000,328.000,0.417,29.120,36
41,8776.000,618455.879,344.534,109.563,106.484,104.949,0.982,0.985,0.929,384.000,458.000,0.585,2.828,40
42,8628.000,602877.402,341.706,108.259,105.159,104.475,0.982,0.993,0.929,446.000,1730.000,0.613,2.000,41
43,8640.000,604135.580,340.534,108.407,105.632,104.149,0.984,0.986,0.936,460.000,2380.000,0.643,0.000,42
44,5736.000,326796.589,275.765,89.889,87.717,83.287,0.984,0.949,0.948,458.000,570.000,0.533,0.000,43
45,8688.000,609177.029,342.877,108.462,105.834,104.526,0.982,0.988,0.929,474.000,92.000,0.634,2.000,44
46,8264.000,565131.172,337.220,113.225,112.028,94.011,0.981,0.838,0.913,478.000,794.000,0.615,2.000,45
47,8348.000,573769.503,334.392,106.320,103.325,102.869,0.985,0.996,0.938,482.000,2042.000,0.656,2.000,46
48,8992.000,641428.493,347.362,111.571,108.793,105.236,0.983,0.967,0.936,484.000,234.000,0.654,2.000,47
49,8668.000,607074.728,344.049,111.140,108.430,101.888,0.978,0.939,0.920,486.000,1910.000,0.645,2.000,49
50,8568.000,596599.640,340.049,107.703,105.124,103.782,0.983,0.987,0.931,488.000,1220.000,0.637,0.000,48
51,8784.000,619301.727,346.877,109.417,106.605,104.935,0.978,0.984,0.917,496.000,998.000,0.623,0.000,50
52,8532.000,592843.511,339.563,108.757,105.911,102.595,0.982,0.968,0.930,570.000,1780.000,0.645,0.000,51
53,13016.000,1117069.284,422.475,133.776,131.386,126.176,0.982,0.960,0.916,584.000,880.000,0.665,2.828,52
54,8852.000,626506.972,346.877,110.073,107.112,105.228,0.981,0.982,0.924,580.000,2440.000,0.640,0.000,53
55,7640.000,502347.029,325.019,109.417,109.175,89.336,0.980,0.816,0.909,588.000,402.000,0.314,46.690,57
56,8356.000,574594.477,337.220,107.703,104.530,101.799,0.980,0.974,0.923,586.000,550.000,0.625,4.000,54
57,8668.000,607074.728,343.362,109.836,107.208,102.979,0.981,0.960,0.924,592.000,2194.000,0.312,46.174,55
58,8548.000,594511.925,340.534,108.849,105.710,102.991,0.980,0.974,0.926,598.000,150.000,0.593,2.828,56
59,6068.000,355575.769,285.421,91.082,88.277,87.521,0.979,0.991,0.936,598.000,2088.000,0.218,60.033,55
60,8064.000,544740.392,332.049,108.812,107.090,95.922,0.979,0.895,0.919,656.000,336.000,0.332,48.083,57
61,8400.000,579138.890,337.220,106.977,104.052,102.801,0.981,0.988,0.928,656.000,2322.000,0.642,0.000,58
62,8300.000,568827.964,335.362,108.259,105.572,100.132,0.982,0.948,0.927,660.000,1660.000,0.640,0.000,59
63,9772.000,726672.939,365.019,116.499,113.600,109.553,0.982,0.964,0.922,674.000,1872.000,0.670,0.000,60
64,8188.000,557353.267,334.191,108.167,106.167,98.343,0.980,0.925,0.921,678.000,670.000,0.289,54.037,61
65,12796.000,1088867.781,416.818,133.462,130.337,125.037,0.986,0.959,0.926,716.000,1528.000,0.683,0.000,62
66,8492.000,588679.319,340.049,109.252,106.571,101.464,0.979,0.952,0.923,712.000,2024.000,0.687,0.000,63
67,8792.000,620147.960,344.534,108.849,106.066,105.557,0.983,0.995,0.931,716.000,2444.000,0.648,2.000,64
68,8756.000,616342.946,344.049,109.636,107.015,104.183,0.983,0.973,0.930,726.000,202.000,0.623,2.828,66
69,8056.000,543929.967,328.049,105.262,102.503,100.067,0.984,0.976,0.941,722.000,464.000,0.548,2.000,65
70,8236.000,562261.449,332.049,105.773,102.616,102.195,0.985,0.996,0.939,730.000,792.000,0.703,0.000,67
71,11200.000,891642.651,389.505,123.693,120.800,118.059,0.985,0.977,0.928,758.000,1760.000,0.710,0.000,68
72,8668.000,607074.728,345.019,111.140,109.349,101.309,0.979,0.923,0.915,756.000,602.000,0.306,49.518,61
73,11524.000,930612.056,394.191,124.788,122.119,120.174,0.986,0.984,0.932,768.000,2184.000,0.637,0.000,69
74,8004.000,538672.023,329.907,108.683,107.539,95.117,0.983,0.881,0.924,778.000,78.000,0.329,47.074,70
75,8268.000,565541.530,334.877,106.000,103.349,101.870,0.980,0.986,0.926,792.000,328.000,0.602,0.000,71
76,8956.000,637580.356,346.877,110.923,107.615,105.970,0.984,0.985,0.935,796.000,2330.000,0.576,2.000,72
77,8048.000,543119.945,334.191,108.683,107.927,95.694,0.981,0.880,0.906,798.000,1322.000,0.264,53.666,73
78,8644.000,604555.167,350.191,121.491,120.189,92.075,0.977,0.762,0.886,810.000,902.000,0.304,48.826,74
79,15724.000,1483229.495,463.446,146.123,142.955,140.091,0.986,0.980,0.920,824.000,1900.000,0.678,6.325,75
80,4276.000,210339.262,239.966,80.050,77.546,70.234,0.976,0.905,0.933,824.000,2046.000,0.543,2.000,76
81,8588.000,598689.793,341.220,108.462,105.664,103.542,0.980,0.979,0.927,846.000,1460.000,0.597,2.828,77
82,8424.000,581622.686,336.049,108.240,105.142,102.051,0.984,0.970,0.937,864.000,442.000,0.585,4.000,78
83,9152.000,658624.402,352.049,114.140,111.842,104.233,0.984,0.932,0.928,864.000,1666.000,0.626,2.000,79
84,8468.000,586185.504,337.706,107.703,105.118,102.569,0.982,0.976,0.933,872.000,1134.000,0.697,0.000,80
85,8020.000,540288.038,328.735,109.417,107.566,95.095,0.984,0.883,0.933,872.000,96.000,0.329,48.662,70
86,8260.000,564720.913,334.392,109.252,104.770,100.434,0.983,0.958,0.928,890.000,622.000,0.639,2.000,81
87,8928.000,634592.701,351.362,113.437,109.675,104.175,0.979,0.945,0.909,890.000,846.000,0.314,48.826,74
88,9096.000,652588.592,350.877,112.730,109.827,105.512,0.984,0.960,0.928,894.000,1274.000,0.299,53.666,73
89,8728.000,613388.892,344.049,111.571,108.532,102.423,0.982,0.943,0.927,912.000,2642.000,0.681,0.000,82
90,8908.000,632461.528,346.877,110.454,107.997,105.055,0.983,0.972,0.930,916.000,2794.000,0.649,2.000,83
