sLabel,sArea,sVolum,sPerim,sFeret,sMajor,sMinor,sSolid,sRound,sCircl,sY,sX,sCore,s_cLabel,s_cArea,s_cVolum,s_cPerim,s_cFeret,s_cMajor,s_cMinor,s_cSolid,s_cRound,s_cCircl,s_csRatio,s_csDist
8,13260.000,1148627.174,430.274,137.768,132.840,127.439,0.979,0.957,0.900,68.000,2694.000,1,[7],8244.000,563080.873,338.676,116.499,112.200,93.685,0.977,0.834,0.903,0.622,2.000
9,14252.000,1279904.367,443.446,140.528,136.367,133.211,0.982,0.976,0.911,72.000,2380.000,1,[8],8216.000,560214.630,332.534,106.452,103.696,100.888,0.984,0.973,0.934,0.576,2.000
10,15268.000,1419178.513,462.274,146.860,139.772,139.253,0.980,0.995,0.898,90.000,1440.000,1,[9],8840.000,625233.440,346.191,110.145,107.079,105.124,0.982,0.982,0.927,0.579,2.000
11,15632.000,1470231.149,468.416,146.014,142.733,139.545,0.980,0.977,0.895,102.000,1154.000,1,[11],8872.000,628631.443,346.877,110.164,107.065,105.512,0.982,0.985,0.927,0.568,2.000
12,12780.000,1086826.154,421.304,132.966,129.410,125.783,0.978,0.972,0.905,98.000,2246.000,1,[10],8452.000,584524.922,337.706,108.259,105.218,102.349,0.983,0.972,0.931,0.661,2.828
13,19260.000,2010704.382,513.387,162.049,157.754,155.571,0.987,0.985,0.918,120.000,106.000,1,[12],11276.000,900733.678,393.990,125.028,122.036,117.702,0.981,0.964,0.913,0.585,4.472
14,14256.000,1280443.236,444.132,138.924,135.955,133.559,0.981,0.982,0.908,136.000,630.000,1,[16],8988.000,641000.541,348.049,110.309,107.339,106.632,0.984,0.993,0.932,0.630,0.000
15,13384.000,1164776.747,431.647,136.191,132.818,128.385,0.980,0.966,0.903,134.000,1022.000,1,[14],8492.000,588679.319,340.049,107.703,104.436,103.540,0.978,0.991,0.923,0.634,0.000
16,13324.000,1156953.053,433.103,136.719,132.569,128.189,0.981,0.965,0.893,134.000,1572.000,1,[15],8504.000,589927.549,338.877,107.703,104.796,103.353,0.982,0.986,0.931,0.638,0.000
19,15404.000,1438182.716,462.960,148.809,144.623,135.731,0.983,0.938,0.903,156.000,1704.000,1,[18],8796.000,620571.221,344.049,111.140,107.400,104.306,0.984,0.971,0.934,0.571,0.000
