cLabel,cArea,cVolum,cPerim,cFeret,cMajor,cMinor,cSolid,cRound,cCircl,cY,cX,csRatio,csDist,c_sLabel
13,13000.000,1115010.170,420.132,132.575,129.273,128.096,0.986,0.990,0.926,120.000,1510.000,0.545,4.000,15
14,15792.000,1492861.449,462.759,147.851,144.960,138.731,0.986,0.957,0.927,142.000,916.000,0.500,0.000,16
15,17016.000,1669744.477,483.245,152.971,149.056,145.381,0.984,0.975,0.916,178.000,1106.000,0.535,2.000,18
16,12904.000,1102682.118,419.161,132.620,129.469,126.932,0.984,0.980,0.923,180.000,2736.000,0.511,0.000,20
17,14924.000,1371486.891,452.617,145.890,142.638,133.231,0.984,0.934,0.915,184.000,2490.000,0.505,2.828,19
18,16272.000,1561439.651,482.274,157.544,152.302,137.390,0.979,0.893,0.879,218.000,2296.000,0.311,60.166,21
19,14460.000,1308025.587,443.647,141.549,138.029,133.417,0.987,0.966,0.923,236.000,1738.000,0.494,0.000,22
20,12904.000,1102682.118,418.475,132.439,129.184,127.202,0.985,0.985,0.926,248.000,1294.000,0.499,2.000,23
21,13728.000,1209970.288,444.818,141.662,135.082,129.993,0.978,0.958,0.872,260.000,2180.000,0.263,63.246,21
22,12640.000,1069016.507,414.475,131.103,128.293,125.477,0.985,0.978,0.925,274.000,1994.000,0.504,2.828,24
23,15224.000,1413048.158,458.960,146.014,142.545,136.069,0.983,0.954,0.908,286.000,1536.000,0.533,0.000,25
26,13768.000,1215262.470,432.132,137.201,133.631,131.212,0.985,0.982,0.927,322.000,964.000,0.539,0.000,27
27,15172.000,1405814.606,463.647,146.820,146.162,132.877,0.980,0.904,0.887,336.000,774.000,0.282,54.589,29
28,13284.000,1151747.029,432.534,138.924,136.230,125.074,0.976,0.911,0.892,336.000,560.000,0.272,58.856,30
29,11928.000,979975.563,404.333,128.515,126.075,120.478,0.981,0.955,0.917,354.000,1164.000,0.460,4.472,31
30,12996.000,1114495.590,421.304,134.239,130.959,126.364,0.985,0.965,0.920,384.000,1858.000,0.591,2.000,34
31,12452.000,1045255.516,411.161,131.027,128.367,123.567,0.984,0.962,0.926,386.000,1386.000,0.504,2.828,32
32,12308.000,1027176.398,408.818,130.614,127.193,123.245,0.984,0.969,0.925,384.000,2396.000,0.500,0.000,33
33,12480.000,1048783.095,413.304,131.103,128.003,124.179,0.984,0.970,0.918,386.000,2720.000,0.501,2.000,35
34,13584.000,1190982.307,429.304,135.823,132.937,130.121,0.985,0.979,0.926,418.000,1688.000,0.465,0.000,36
35,12476.000,1048278.912,419.848,136.059,132.731,120.278,0.977,0.902,0.889,448.000,576.000,0.256,54.332,30
36,13668.000,1202046.465,438.676,139.628,136.171,128.355,0.979,0.939,0.893,456.000,794.000,0.254,67.082,29
39,14256.000,1280443.236,441.304,139.714,136.177,133.351,0.985,0.979,0.920,506.000,1510.000,0.498,0.000,39
40,13384.000,1164776.747,426.475,136.000,133.081,128.089,0.985,0.962,0.925,530.000,1940.000,0.509,2.828,40
41,12608.000,1064959.521,413.990,130.384,128.008,125.416,0.985,0.980,0.924,536.000,2134.000,0.455,2.000,41
42,18256.000,1855548.203,500.416,156.589,153.362,151.583,0.986,0.988,0.916,544.000,326.000,0.592,2.828,42
43,13116.000,1129967.395,422.475,132.981,129.953,128.551,0.986,0.989,0.923,550.000,2350.000,0.598,2.000,44
44,14604.000,1327613.123,446.475,142.352,139.400,133.429,0.984,0.957,0.921,558.000,2656.000,0.514,0.000,43
45,10824.000,847121.054,388.333,126.301,125.127,110.396,0.979,0.880,0.902,562.000,1342.000,0.247,62.032,45
46,14820.000,1357175.796,448.617,141.365,137.904,136.873,0.987,0.992,0.925,630.000,1642.000,0.511,2.000,46
47,15004.000,1382529.425,450.960,143.388,139.187,137.339,0.987,0.986,0.927,638.000,860.000,0.546,2.000,47
48,13120.000,1130484.346,422.475,135.085,133.228,125.511,0.986,0.941,0.924,636.000,636.000,0.248,64.498,48
50,18356.000,1870815.131,499.245,157.582,154.029,151.756,0.987,0.985,0.925,670.000,1820.000,0.762,2.828,50
51,12280.000,1023673.240,411.848,135.204,132.403,118.292,0.979,0.892,0.910,678.000,1336.000,0.280,54.148,45
53,14912.000,1369833.058,452.617,141.549,138.569,137.039,0.984,0.989,0.915,690.000,2518.000,0.525,0.000,52
54,17032.000,1672100.100,483.245,153.375,149.807,144.812,0.985,0.966,0.917,706.000,2242.000,0.550,2.000,53
55,14308.000,1287455.413,443.931,144.028,141.901,129.155,0.987,0.905,0.912,750.000,700.000,0.271,66.242,48
56,13124.000,1131001.375,422.475,132.981,130.354,128.234,0.984,0.983,0.924,770.000,492.000,0.522,2.000,54
57,13212.000,1142395.932,423.161,134.893,132.370,127.166,0.986,0.960,0.927,794.000,2068.000,0.468,2.000,55
58,17232.000,1701638.603,483.931,152.315,149.515,146.754,0.988,0.981,0.925,820.000,1706.000,0.565,0.000,56
59,13780.000,1216851.626,433.505,140.428,135.699,129.424,0.986,0.953,0.921,818.000,918.000,0.493,4.472,57
61,11724.000,954943.144,397.990,128.515,125.694,118.868,0.986,0.945,0.930,820.000,2650.000,0.473,2.000,58
62,11764.000,959834.429,399.161,126.143,123.240,121.550,0.985,0.986,0.928,826.000,1902.000,0.559,2.828,60
63,19480.000,2045253.898,516.902,162.308,159.149,155.888,0.986,0.979,0.916,854.000,1418.000,0.604,2.000,61
64,15548.000,1458396.449,462.759,145.671,142.472,138.967,0.984,0.975,0.912,860.000,1198.000,0.562,2.000,62
65,15628.000,1469666.870,461.789,147.648,143.522,138.723,0.986,0.966,0.921,870.000,172.000,0.513,0.000,63
66,13244.000,1146548.838,425.304,134.937,132.967,126.834,0.985,0.954,0.920,938.000,526.000,0.500,2.000,65
67,12140.000,1006217.417,404.818,128.062,125.034,123.649,0.986,0.989,0.931,938.000,2398.000,0.505,4.472,67
68,14196.000,1272368.141,440.617,139.556,136.392,132.537,0.984,0.972,0.919,938.000,2204.000,0.475,2.828,64
69,18784.000,1936626.720,504.902,159.411,155.462,153.857,0.988,0.990,0.926,952.000,724.000,0.539,2.828,66
70,14944.000,1374244.757,449.789,142.618,139.605,136.301,0.986,0.976,0.928,972.000,1990.000,0.566,0.000,68
71,14820.000,1357175.796,451.446,142.352,138.944,135.849,0.984,0.977,0.914,978.000,1036.000,0.493,2.828,69
