sLabel,sArea,sVolum,sPerim,sFeret,sMajor,sMinor,sSolid,sRound,sCircl,sY,sX,sCore,s_cLabel,s_cArea,s_cVolum,s_cPerim,s_cFeret,s_cMajor,s_cMinor,s_cSolid,s_cRound,s_cCircl,s_csRatio,s_csDist
15,128940.000,34829344.348,1433.769,531.010,537.949,307.949,0.982,0.567,0.788,164.000,636.000,5,"[13, 14, 17, 20, 22]",12480.800,1051968.617,429.843,140.442,134.863,119.643,0.970,0.878,0.849,0.097,114.972
16,52460.000,9038705.359,882.489,319.230,323.288,206.921,0.991,0.639,0.846,182.000,1888.000,2,"[15, 23]",11542.000,932984.697,398.718,129.008,127.683,115.674,0.984,0.901,0.912,0.220,62.206
17,31496.000,4204815.098,658.441,207.200,204.192,196.405,0.989,0.962,0.913,160.000,1648.000,1,[16],12724.000,1079690.527,416.333,134.239,130.558,124.132,0.985,0.950,0.922,0.404,2.000
18,29020.000,3718860.712,638.784,199.249,196.031,188.613,0.986,0.962,0.894,194.000,1072.000,1,[18],11652.000,946159.848,399.647,127.059,123.731,119.952,0.981,0.969,0.917,0.402,0.000
19,31068.000,4119397.916,655.612,203.666,200.381,197.429,0.987,0.985,0.908,204.000,2128.000,1,[19],13204.000,1141358.490,423.647,133.701,130.412,128.919,0.984,0.989,0.925,0.425,2.000
21,26732.000,3287842.302,608.500,190.032,186.320,182.744,0.987,0.980,0.907,226.000,2320.000,1,[24],12496.000,1050800.631,411.161,130.000,126.828,125.466,0.986,0.989,0.929,0.467,0.000
22,40144.000,6050548.775,839.092,277.308,266.536,197.250,0.949,0.719,0.716,294.000,244.000,1,[26],13776.000,1216321.830,433.304,137.768,135.718,129.277,0.985,0.952,0.922,0.343,20.396
23,27292.000,3391695.414,614.642,190.924,187.477,185.394,0.986,0.989,0.908,270.000,2598.000,1,[25],12956.000,1109354.142,418.475,132.620,129.164,127.741,0.986,0.989,0.930,0.475,2.000
24,25568.000,3075451.883,592.014,186.987,183.604,177.339,0.988,0.966,0.917,280.000,1446.000,1,[27],11336.000,907932.487,393.990,126.270,123.604,116.871,0.983,0.945,0.918,0.443,2.000
25,35880.000,5112607.489,703.897,219.545,215.683,211.827,0.989,0.982,0.910,310.000,1244.000,1,[28],15472.000,1447716.371,458.274,144.471,140.604,140.124,0.986,0.996,0.926,0.431,0.000
26,29668.000,3844113.533,640.299,203.066,198.824,190.152,0.987,0.956,0.909,336.000,904.000,1,[29],11920.000,978989.837,403.161,129.321,127.090,119.441,0.983,0.940,0.922,0.402,2.000
27,24532.000,2890435.179,581.186,181.747,178.444,175.081,0.987,0.981,0.913,368.000,2440.000,1,[30],12584.000,1061920.157,415.647,132.197,129.280,123.973,0.983,0.959,0.915,0.513,2.000
28,28264.000,3574491.239,626.642,195.233,190.717,188.855,0.985,0.989,0.904,376.000,426.000,1,[31],11384.000,913705.272,393.990,124.868,122.550,118.289,0.983,0.965,0.922,0.403,2.000
29,54776.000,9643823.926,907.945,330.388,332.128,210.457,0.988,0.632,0.835,436.000,1872.000,2,"[32, 36]",11958.000,983699.752,404.960,131.677,130.771,116.871,0.985,0.890,0.916,0.218,63.282
30,32840.000,4476808.557,671.612,212.207,207.792,201.275,0.989,0.968,0.915,422.000,1628.000,1,[34],12776.000,1086315.947,419.647,133.776,130.528,124.647,0.982,0.955,0.912,0.389,2.000
31,24560.000,2895385.159,601.328,183.183,178.256,175.559,0.979,0.984,0.854,410.000,722.000,1,[33],10604.000,821425.875,378.676,121.078,117.875,114.556,0.984,0.972,0.929,0.432,0.000
32,29204.000,3754285.620,633.955,198.081,193.948,191.769,0.988,0.989,0.913,428.000,2118.000,1,[35],12228.000,1017177.969,406.676,129.769,126.671,122.953,0.985,0.970,0.929,0.419,0.000
33,33664.000,4646354.881,680.098,211.206,207.954,206.136,0.989,0.991,0.915,494.000,1130.000,1,[37],13076.000,1124802.229,422.475,133.881,130.257,127.839,0.984,0.981,0.921,0.388,2.000
34,27452.000,3421564.928,612.985,191.760,189.049,184.959,0.989,0.978,0.918,514.000,564.000,1,[38],10996.000,867392.968,387.161,123.434,119.699,117.006,0.983,0.977,0.922,0.401,2.000
35,103840.000,25171599.864,1362.136,479.141,498.054,281.788,0.931,0.533,0.703,684.000,1394.000,4,"[39, 46, 56, 59]",11812.000,968186.569,407.304,135.785,133.389,113.954,0.983,0.845,0.893,0.114,109.271
36,29404.000,3792917.718,634.642,197.231,193.848,193.151,0.990,0.996,0.917,552.000,2518.000,1,[40],12624.000,1066987.371,415.647,130.614,127.942,125.667,0.984,0.982,0.918,0.429,0.000
37,4140.000,200384.586,261.622,95.708,92.425,58.544,0.925,0.617,0.760,518.000,242.000,0,[],,,,,,,,,,,
39,30960.000,4097936.536,653.470,203.657,199.666,197.518,0.988,0.989,0.911,566.000,932.000,1,[42],12584.000,1061920.157,414.475,130.614,127.453,125.733,0.984,0.986,0.921,0.406,0.000
41,44668.000,7101638.502,806.891,287.618,289.731,196.483,0.991,0.678,0.862,652.000,706.000,2,"[43, 52]",10212.000,776416.931,374.233,122.151,120.178,108.700,0.983,0.900,0.916,0.229,54.052
42,26976.000,3332960.216,607.813,190.252,186.524,184.212,0.988,0.987,0.918,626.000,2340.000,1,[45],11760.000,959344.926,399.848,130.384,126.242,118.751,0.984,0.940,0.924,0.436,0.000
43,73744.000,15064469.291,1073.318,388.500,395.503,242.159,0.979,0.600,0.804,722.000,2734.000,3,"[44, 54, 60]",11352.000,909968.889,398.866,132.798,130.261,111.644,0.982,0.852,0.897,0.154,83.368
44,65556.000,12626485.086,977.921,341.532,346.098,241.836,0.990,0.697,0.861,656.000,1676.000,2,"[47, 50]",14902.000,1381543.946,460.475,149.949,147.301,130.037,0.979,0.867,0.876,0.227,61.864
45,27220.000,3378282.641,615.813,192.769,189.112,183.357,0.985,0.969,0.902,638.000,1940.000,1,[48],11168.000,887824.056,390.676,125.936,122.184,116.414,0.982,0.952,0.919,0.410,2.000
46,4428.000,221653.819,306.451,119.281,97.498,63.339,0.837,0.593,0.593,608.000,246.000,0,[],,,,,,,,,,,
47,52368.000,9014938.789,961.602,336.880,349.077,193.139,0.967,0.547,0.712,724.000,2122.000,1,[49],11436.000,919972.870,397.505,128.016,125.398,116.593,0.982,0.926,0.909,0.218,76.158
48,80108.000,17056017.541,1314.538,458.537,492.125,223.141,0.900,0.421,0.583,790.000,432.000,2,"[51, 64]",12452.000,1046141.612,412.333,131.424,127.293,124.611,0.984,0.978,0.920,0.155,129.957
49,28600.000,3638420.165,630.642,198.040,193.007,188.714,0.987,0.978,0.904,696.000,1086.000,1,[53],13668.000,1202046.465,432.132,137.084,134.192,129.702,0.984,0.966,0.920,0.478,0.000
51,2408.000,88889.103,215.539,74.404,64.655,50.579,0.880,0.733,0.651,666.000,238.000,0,[],,,,,,,,,,,
53,5172.000,279802.490,315.279,108.167,103.680,67.047,0.881,0.613,0.654,736.000,242.000,0,[],,,,,,,,,,,
54,30692.000,4044842.212,651.612,204.431,200.146,195.341,0.987,0.976,0.908,798.000,2436.000,1,[57],14868.000,1363774.698,449.789,142.127,138.941,136.263,0.986,0.981,0.924,0.484,2.000
55,28404.000,3601082.377,632.500,202.800,192.514,188.067,0.984,0.976,0.892,796.000,840.000,1,[58],11628.000,943238.100,397.990,126.696,123.431,120.042,0.983,0.972,0.923,0.409,0.000
56,26292.000,3207002.036,603.612,189.410,185.821,180.227,0.987,0.969,0.907,866.000,1798.000,1,[61],12720.000,1079181.439,416.818,133.417,129.223,125.384,0.984,0.970,0.920,0.484,2.000
57,29468.000,3805307.806,654.240,208.471,196.635,191.176,0.979,0.970,0.865,874.000,662.000,1,[62],11424.000,918525.234,393.990,124.483,121.350,119.900,0.985,0.988,0.925,0.388,2.828
58,29400.000,3792143.785,635.612,198.595,195.566,191.419,0.988,0.979,0.914,892.000,2258.000,1,[63],12692.000,1075620.066,417.304,132.575,130.049,124.289,0.982,0.955,0.916,0.432,0.000
59,25604.000,3081949.570,593.671,185.569,181.519,179.655,0.988,0.989,0.913,940.000,270.000,1,[65],11380.000,913223.741,393.505,125.539,122.748,118.065,0.984,0.962,0.924,0.444,0.000
60,85188.000,18703868.204,1103.225,373.449,373.831,292.054,0.991,0.776,0.880,1028.000,2612.000,4,"[66, 72, 73, 78]",11234.000,902693.035,405.333,136.353,130.192,110.936,0.968,0.839,0.854,0.132,87.318
61,21580.000,2384739.585,547.529,172.256,168.358,163.268,0.986,0.969,0.905,952.000,2010.000,1,[67],13128.000,1131518.483,422.475,134.893,131.701,126.928,0.985,0.964,0.924,0.608,2.000
62,28812.000,3678950.203,627.813,196.977,193.722,189.410,0.989,0.978,0.919,974.000,1034.000,1,[69],12456.000,1045759.214,414.475,130.920,127.857,124.156,0.985,0.970,0.911,0.432,2.000
63,27028.000,3342601.976,610.156,192.800,189.025,182.123,0.987,0.963,0.912,970.000,1304.000,1,[68],10792.000,843367.197,383.848,122.589,119.281,115.245,0.983,0.966,0.920,0.399,2.000
65,28528.000,3624689.327,625.813,196.010,192.711,188.504,0.989,0.978,0.915,1002.000,1514.000,1,[71],12340.000,1031184.888,409.990,130.000,126.991,123.762,0.983,0.974,0.923,0.433,0.000
66,31560.000,4217637.908,663.411,207.239,202.623,198.355,0.986,0.979,0.901,1034.000,784.000,1,[74],13336.000,1158516.385,426.960,135.558,131.658,129.001,0.983,0.980,0.919,0.423,2.828
67,80712.000,17249279.676,1081.602,360.228,360.092,290.137,0.990,0.793,0.867,1092.000,1780.000,3,"[75, 76, 81]",12394.667,1038590.932,416.294,136.085,132.037,120.327,0.982,0.905,0.899,0.154,80.147
68,26576.000,3259104.027,607.328,189.663,185.464,182.494,0.985,0.984,0.905,1084.000,588.000,1,[77],11568.000,935946.922,396.818,126.649,122.190,120.693,0.984,0.986,0.923,0.435,0.000
69,35628.000,5058840.255,698.240,219.317,215.492,210.540,0.991,0.977,0.918,1136.000,1188.000,1,[79],13940.000,1238106.378,436.617,137.084,133.913,132.562,0.983,0.990,0.919,0.391,2.828
70,76704.000,15980516.755,1056.632,358.022,352.713,280.286,0.991,0.785,0.863,1196.000,342.000,3,"[80, 84, 89]",11814.667,968947.702,411.742,135.692,129.358,117.622,0.973,0.898,0.875,0.154,77.776
71,55240.000,9766620.329,949.117,343.628,349.420,202.467,0.975,0.576,0.771,1202.000,2332.000,2,"[82, 88]",9548.000,728542.983,357.948,115.751,113.319,104.573,0.980,0.927,0.913,0.173,63.593
73,32008.000,4307761.077,661.269,207.885,204.267,199.574,0.990,0.977,0.920,1234.000,1998.000,1,[87],13224.000,1143952.683,426.960,137.084,133.078,126.632,0.983,0.951,0.912,0.413,0.000
74,25592.000,3079783.166,592.985,186.762,182.745,178.338,0.987,0.976,0.915,1228.000,798.000,1,[85],13332.000,1157995.196,425.304,134.536,131.760,128.837,0.986,0.978,0.926,0.521,0.000
76,35928.000,5122870.332,703.897,221.531,218.252,209.647,0.990,0.960,0.911,1292.000,606.000,1,[90],13512.000,1181525.924,428.132,136.821,134.096,128.314,0.985,0.957,0.926,0.376,2.828
77,44980.000,7176174.272,838.926,310.464,321.215,179.686,0.982,0.555,0.803,1302.000,1032.000,2,"[91, 93]",10544.000,815363.016,379.019,123.697,121.143,110.789,0.983,0.914,0.922,0.234,67.477
78,29656.000,3841781.490,636.784,199.379,195.848,192.814,0.989,0.984,0.919,1308.000,2684.000,1,[92],14160.000,1267531.264,440.132,138.924,135.838,132.736,0.984,0.977,0.919,0.477,2.000
79,30724.000,4051169.692,651.612,202.869,199.075,196.550,0.988,0.987,0.909,1344.000,1288.000,1,[94],14048.000,1252522.534,436.132,139.714,136.438,131.117,0.986,0.961,0.928,0.457,0.000
81,24736.000,2926563.883,582.156,181.912,178.229,176.827,0.989,0.991,0.917,1386.000,2150.000,1,[96],12152.000,1007709.706,407.647,128.281,125.040,123.780,0.983,0.990,0.919,0.491,2.000
82,49268.000,8226426.075,857.921,310.413,312.132,201.249,0.988,0.644,0.841,1414.000,1510.000,2,"[95, 100]",11316.000,905571.537,396.333,128.977,127.657,113.497,0.983,0.884,0.905,0.230,61.334
83,27872.000,3500386.500,617.470,196.010,191.472,185.370,0.989,0.968,0.919,1406.000,432.000,1,[97],11588.000,938375.219,397.505,127.953,125.538,117.605,0.984,0.936,0.922,0.416,0.000
84,29552.000,3821590.225,638.441,199.650,195.102,192.889,0.988,0.988,0.911,1420.000,190.000,1,[98],12304.000,1026675.702,407.161,129.244,126.101,124.249,0.987,0.985,0.933,0.416,2.000
86,32028.000,4311799.224,665.955,206.891,203.309,200.642,0.988,0.987,0.908,1448.000,1756.000,1,[101],12876.000,1099095.051,418.475,133.776,130.193,125.944,0.984,0.967,0.924,0.402,2.000
87,35552.000,5042661.965,700.583,218.550,215.778,209.805,0.989,0.972,0.910,1476.000,1966.000,1,[102],15056.000,1389722.885,452.617,146.014,142.749,134.305,0.987,0.941,0.924,0.423,0.000
88,34440.000,4807934.189,690.240,221.721,215.372,203.693,0.989,0.945,0.908,1486.000,880.000,1,[103],12964.000,1110381.798,420.818,135.351,131.977,125.113,0.984,0.948,0.920,0.376,2.000
89,27124.000,3360426.523,611.813,195.479,189.176,182.695,0.988,0.965,0.911,1520.000,1084.000,1,[104],11832.000,968168.708,400.333,127.059,123.797,121.718,0.985,0.983,0.928,0.436,2.000
91,27636.000,3456022.620,616.299,193.866,190.921,184.325,0.988,0.965,0.914,1536.000,620.000,1,[105],11532.000,931581.276,394.676,127.389,123.321,119.134,0.985,0.965,0.930,0.417,4.000
92,25508.000,3064632.569,592.500,185.408,181.731,178.762,0.988,0.983,0.913,1534.000,2330.000,1,[106],13620.000,1195719.912,430.475,136.308,133.692,129.728,0.986,0.970,0.924,0.534,2.000
93,27664.000,3461276.264,615.813,194.288,191.060,184.392,0.989,0.965,0.917,1572.000,326.000,1,[107],11676.000,949084.607,397.505,128.156,125.225,118.736,0.985,0.948,0.929,0.422,2.000
94,30764.000,4059083.677,656.098,209.390,204.260,191.827,0.986,0.939,0.898,1582.000,2140.000,1,[108],13832.000,1223745.959,436.132,139.714,136.237,129.306,0.984,0.949,0.914,0.450,0.000
95,30816.000,4069379.551,657.553,204.841,202.430,194.151,0.982,0.957,0.896,1606.000,1570.000,1,[110],13872.000,1229058.120,534.357,160.823,148.610,123.925,0.932,0.800,0.610,0.450,4.000
96,26092.000,3170478.811,598.642,188.308,185.000,179.594,0.988,0.971,0.915,1604.000,140.000,1,[109],11320.000,906010.937,392.333,124.531,121.543,118.612,0.984,0.976,0.924,0.434,2.000
97,29208.000,3755056.969,635.127,198.595,195.987,189.780,0.988,0.968,0.910,1642.000,2542.000,1,[111],12532.000,1055344.812,412.818,132.981,129.865,122.914,0.985,0.946,0.924,0.429,0.000
98,28772.000,3671291.575,662.441,218.979,204.389,181.589,0.971,0.877,0.824,1652.000,1762.000,1,[112],11148.000,885440.210,387.848,124.531,120.633,117.712,0.984,0.975,0.931,0.387,4.000
99,93100.000,21369202.853,1147.543,359.555,353.360,336.903,0.991,0.949,0.888,1754.000,798.000,3,"[114, 121, 127]",13725.333,1215085.509,438.799,151.355,145.401,120.349,0.982,0.823,0.893,0.147,76.127
100,28096.000,3542668.711,623.328,194.905,190.825,187.534,0.987,0.982,0.909,1680.000,1966.000,1,[113],12576.000,1060907.680,413.990,131.848,128.919,124.268,0.984,0.963,0.922,0.448,0.000
101,103120.000,24910254.051,1276.597,452.027,461.895,291.589,0.969,0.615,0.795,1824.000,1156.000,4,"[116, 120, 130, 135]",12278.000,1024087.541,422.043,137.426,135.194,117.103,0.977,0.856,0.867,0.119,101.090
