cLabel,cArea,cVolum,cPerim,cFeret,cMajor,cMinor,cSolid,cRound,cCircl,cY,cX,csRatio,csDist,c_sLabel
11,9180.000,661649.246,353.019,113.719,110.868,105.446,0.982,0.951,0.926,74.000,2190.000,0.808,5.657,13
12,8832.000,624384.899,347.362,110.635,107.607,104.515,0.979,0.971,0.920,86.000,442.000,0.728,2.000,14
13,8388.000,577898.321,336.534,107.517,104.851,101.871,0.983,0.971,0.931,90.000,1992.000,0.729,2.000,15
14,6972.000,437925.130,308.735,97.673,94.881,93.570,0.976,0.986,0.919,112.000,1538.000,0.672,2.828,16
15,3996.000,190021.184,231.966,75.153,72.563,70.144,0.974,0.966,0.933,114.000,198.000,0.835,2.000,18
16,8252.000,563900.694,334.392,105.603,102.787,102.221,0.982,0.994,0.927,122.000,1874.000,0.664,0.000,17
17,8552.000,594929.273,340.049,107.201,104.417,104.283,0.982,0.999,0.929,136.000,330.000,0.740,0.000,19
19,8280.000,566773.199,334.877,106.320,103.544,101.829,0.980,0.983,0.928,160.000,2096.000,0.698,0.000,21
20,8460.000,585355.017,338.877,107.331,104.192,103.391,0.981,0.992,0.926,162.000,1752.000,0.682,2.000,22
21,9272.000,671620.486,353.706,113.719,110.741,106.608,0.983,0.963,0.931,168.000,546.000,0.721,0.000,23
24,3952.000,186891.351,230.794,74.673,71.561,70.320,0.971,0.983,0.932,188.000,238.000,0.745,2.000,27
25,8468.000,586185.504,337.220,107.424,104.242,103.433,0.984,0.992,0.936,198.000,1626.000,0.684,2.000,25
27,8656.000,605814.511,342.877,108.407,105.847,104.132,0.981,0.984,0.925,212.000,1972.000,0.715,2.000,28
28,9772.000,726672.939,364.534,117.337,113.820,109.374,0.982,0.960,0.924,220.000,2304.000,0.759,2.000,29
30,9488.000,695225.694,412.818,140.684,136.613,94.550,0.919,0.647,0.700,224.000,1492.000,0.724,2.000,31
31,9144.000,657761.010,351.362,112.161,108.702,107.120,0.982,0.985,0.931,238.000,650.000,0.704,0.000,32
32,9928.000,744143.089,367.848,116.379,113.403,111.472,0.980,0.983,0.922,242.000,124.000,0.732,0.000,33
33,8600.000,599945.054,343.362,111.893,106.688,102.764,0.979,0.962,0.917,246.000,1852.000,0.717,2.000,34
34,5948.000,345080.358,283.279,90.554,87.824,86.252,0.979,0.982,0.931,252.000,816.000,0.703,0.000,35
35,8356.000,574594.477,336.049,107.424,104.571,101.761,0.981,0.973,0.930,264.000,360.000,0.689,2.000,36
36,8940.000,635872.552,400.818,134.937,138.276,87.448,0.915,0.595,0.699,242.000,920.000,0.786,4.000,30
38,8448.000,584110.022,337.220,106.977,104.153,103.277,0.983,0.992,0.934,282.000,484.000,0.689,0.000,38
39,8496.000,589095.297,337.220,107.703,104.831,103.188,0.985,0.984,0.939,284.000,2090.000,0.699,2.000,39
40,6468.000,391308.081,293.421,94.021,91.462,90.051,0.984,0.984,0.944,286.000,1702.000,0.715,0.000,41
41,7768.000,515024.187,322.392,103.325,100.632,98.302,0.984,0.977,0.939,290.000,240.000,0.705,0.000,40
42,6616.000,404815.418,297.907,95.854,92.474,91.095,0.981,0.985,0.937,296.000,2210.000,0.682,0.000,42
43,9160.000,659488.172,350.392,112.161,108.315,107.733,0.985,0.994,0.938,304.000,1296.000,0.708,0.000,43
45,8644.000,604555.167,340.049,108.462,105.468,104.362,0.985,0.989,0.939,332.000,1420.000,0.715,2.000,44
48,8212.000,559805.565,332.735,105.849,103.175,101.357,0.982,0.982,0.932,346.000,1982.000,0.684,2.000,48
49,8460.000,585355.017,337.706,111.086,106.734,100.999,0.983,0.946,0.932,348.000,590.000,0.747,0.000,49
