sLabel,sArea,sVolum,sPerim,sFeret,sMajor,sMinor,sSolid,sRound,sCircl,sY,sX,sCore,s_cLabel,s_cArea,s_cVolum,s_cPerim,s_cFeret,s_cMajor,s_cMinor,s_cSolid,s_cRound,s_cCircl,s_csRatio,s_csDist
15,13020.000,1117584.260,424.132,132.816,129.514,128.026,0.982,0.988,0.910,70.000,1676.000,1,[13],9036.000,646142.241,348.049,110.941,108.139,106.390,0.986,0.984,0.937,0.694,2.828
16,12220.000,1016179.921,413.304,130.507,127.376,122.206,0.976,0.959,0.899,68.000,186.000,1,[12],8980.000,640144.923,348.049,110.309,107.195,106.661,0.983,0.995,0.932,0.735,2.828
17,12904.000,1102682.118,421.304,132.966,129.456,127.030,0.983,0.980,0.914,72.000,1806.000,1,[14],8976.000,639717.257,348.534,110.145,107.490,106.338,0.982,0.989,0.929,0.696,0.000
18,12712.000,1078163.503,417.789,131.939,128.140,126.482,0.981,0.986,0.915,76.000,622.000,1,[15],9140.000,657329.456,352.534,111.086,108.423,107.342,0.981,0.990,0.924,0.719,0.000
19,13160.000,1135658.182,426.475,134.462,131.700,127.354,0.980,0.966,0.909,84.000,762.000,1,[16],9360.000,681204.602,356.534,112.178,109.499,108.841,0.981,0.994,0.925,0.711,0.000
20,12872.000,1098582.931,424.617,132.439,128.079,128.051,0.977,0.999,0.897,86.000,1934.000,1,[17],9028.000,645284.340,351.362,110.941,108.006,106.443,0.979,0.985,0.919,0.701,2.000
21,12616.000,1065973.285,417.789,131.939,127.224,126.306,0.982,0.992,0.908,98.000,418.000,1,[18],8828.000,623960.772,345.706,109.142,106.176,105.861,0.982,0.997,0.928,0.700,2.000
22,12480.000,1048783.095,416.617,130.553,126.604,125.546,0.980,0.991,0.904,98.000,1388.000,1,[19],8876.000,629056.625,345.706,109.636,106.621,105.998,0.981,0.994,0.933,0.711,0.000
23,12652.000,1070539.202,418.475,131.103,127.362,126.515,0.981,0.993,0.908,118.000,1256.000,1,[20],9008.000,643141.252,348.049,110.309,107.392,106.804,0.984,0.994,0.934,0.712,0.000
24,13428.000,1170525.284,430.475,136.132,132.532,129.042,0.981,0.973,0.911,132.000,2054.000,1,[21],9388.000,684263.574,354.877,113.031,110.851,107.842,0.984,0.973,0.937,0.699,2.000
25,5252.000,286319.467,273.421,86.579,82.597,81.042,0.968,0.980,0.883,128.000,1490.000,0,[],,,,,,,,,,,
26,12100.000,1001248.448,407.161,128.950,124.975,123.315,0.983,0.986,0.917,152.000,934.000,1,[24],8780.000,618878.755,345.706,110.073,107.039,104.450,0.979,0.976,0.923,0.726,0.000
27,12248.000,1019674.519,408.818,128.950,126.077,123.705,0.984,0.981,0.921,164.000,1068.000,1,[25],8872.000,628631.443,345.706,110.309,107.508,105.079,0.983,0.977,0.933,0.724,2.000
28,2664.000,103434.431,196.936,64.498,59.417,57.531,0.951,0.961,0.863,136.000,690.000,0,[],,,,,,,,,,,
29,12352.000,1032689.413,408.818,129.692,126.112,124.709,0.986,0.989,0.929,176.000,530.000,1,[26],8956.000,637580.356,349.706,109.836,107.055,106.522,0.979,0.995,0.920,0.725,0.000
30,12388.000,1037207.373,411.647,129.522,126.608,124.592,0.983,0.984,0.919,190.000,236.000,1,[27],8828.000,623960.772,345.706,109.252,106.192,105.857,0.982,0.997,0.928,0.713,0.000
31,12780.000,1086826.154,418.475,131.469,128.147,127.019,0.982,0.991,0.917,190.000,1720.000,1,[28],9232.000,667279.056,352.534,111.893,108.828,108.031,0.985,0.992,0.933,0.722,0.000
