cLabel,cArea,cVolum,cPerim,cFeret,cMajor,cMinor,cSolid,cRound,cCircl,cY,cX,csRatio,csDist,c_sLabel
19,9220.000,665978.458,352.534,111.571,108.722,107.985,0.985,0.993,0.932,76.000,1172.000,0.715,2.000,19
20,8896.000,631183.971,345.706,110.145,106.885,105.978,0.985,0.991,0.935,78.000,274.000,0.744,2.000,21
21,9096.000,652588.592,349.706,111.086,108.248,106.987,0.984,0.988,0.935,78.000,1878.000,0.691,0.000,20
22,9032.000,645713.243,349.706,110.635,107.663,106.816,0.983,0.992,0.928,108.000,2402.000,0.719,0.000,22
23,9004.000,642712.919,349.706,110.309,107.629,106.518,0.981,0.990,0.925,114.000,150.000,0.718,0.000,23
24,8976.000,639717.257,346.877,110.309,107.410,106.399,0.985,0.991,0.937,114.000,1652.000,0.700,0.000,24
25,9108.000,653880.420,351.362,112.730,110.446,105.039,0.984,0.951,0.927,116.000,2538.000,0.718,0.000,25
26,9000.000,642284.682,349.706,110.309,107.111,107.000,0.980,0.999,0.925,134.000,574.000,0.726,0.000,26
27,8244.000,563080.873,334.877,106.471,103.717,101.206,0.980,0.976,0.924,138.000,982.000,0.748,0.000,28
28,8908.000,632461.528,346.392,109.636,107.107,105.905,0.983,0.989,0.933,142.000,2260.000,0.723,0.000,27
29,9360.000,681204.602,356.534,112.588,110.011,108.331,0.983,0.985,0.925,166.000,2000.000,0.708,0.000,29
30,9192.000,662947.022,352.534,111.140,108.365,108.003,0.982,0.997,0.929,170.000,860.000,0.718,0.000,30
31,9388.000,684263.574,357.706,112.161,109.414,109.251,0.981,0.998,0.922,172.000,730.000,0.713,0.000,32
32,9284.000,672924.744,354.191,112.641,109.912,107.551,0.983,0.978,0.930,172.000,2132.000,0.698,0.000,31
33,8532.000,592843.511,341.706,107.703,104.341,104.133,0.978,0.998,0.918,178.000,1762.000,0.722,2.000,33
34,9140.000,657329.456,352.534,111.571,108.869,106.898,0.982,0.982,0.924,188.000,1326.000,0.751,0.000,35
35,8888.000,630332.746,345.706,109.417,106.661,106.104,0.984,0.995,0.935,192.000,1502.000,0.723,0.000,36
37,9288.000,673359.684,355.362,112.178,109.472,108.028,0.981,0.987,0.924,206.000,246.000,0.716,0.000,37
