sLabel,sArea,sVolum,sPerim,sFeret,sMajor,sMinor,sSolid,sRound,sCircl,sY,sX,sCore,s_cLabel,s_cArea,s_cVolum,s_cPerim,s_cFeret,s_cMajor,s_cMinor,s_cSolid,s_cRound,s_cCircl,s_csRatio,s_csDist
12,39528.000,5911818.083,739.210,228.849,225.960,222.782,0.989,0.986,0.909,178.000,1352.000,1,[14],15144.000,1401924.746,457.103,142.239,139.027,138.700,0.983,0.998,0.911,0.383,2.828
13,42780.000,6656178.663,767.009,239.140,235.461,231.360,0.991,0.982,0.914,200.000,1588.000,1,[15],16648.000,1615871.797,475.931,148.862,145.827,145.360,0.987,0.997,0.924,0.389,2.000
14,38708.000,5728816.332,728.583,229.268,224.727,219.374,0.990,0.976,0.916,202.000,124.000,1,[16],15076.000,1392492.913,455.446,142.352,139.195,137.918,0.984,0.991,0.913,0.389,2.000
15,27100.000,3355967.424,610.156,190.379,186.904,184.636,0.989,0.988,0.915,232.000,1808.000,1,[17],14764.000,1349490.573,446.960,140.684,137.341,136.876,0.987,0.997,0.929,0.545,0.000
16,37700.000,5506502.308,718.725,224.615,220.236,218.006,0.990,0.990,0.917,244.000,2024.000,1,[18],15044.000,1388061.752,455.446,141.662,138.690,138.118,0.982,0.996,0.911,0.399,0.000
17,42496.000,6590007.066,766.524,238.730,234.687,230.594,0.990,0.982,0.909,278.000,686.000,1,[19],16596.000,1608306.953,474.759,149.412,146.000,144.736,0.987,0.991,0.925,0.391,2.000
18,39296.000,5859847.555,734.725,229.172,224.443,222.965,0.990,0.993,0.915,344.000,442.000,1,[21],15740.000,1485493.967,463.446,145.836,142.567,140.581,0.985,0.986,0.921,0.401,0.000
20,41028.000,6251501.224,750.039,233.940,230.382,226.769,0.990,0.984,0.916,416.000,2212.000,1,[22],16552.000,1601915.180,474.759,149.050,145.953,144.396,0.986,0.989,0.923,0.403,2.000
21,66988.000,13042454.122,995.294,357.620,364.866,234.298,0.990,0.641,0.850,440.000,972.000,2,"[23, 25]",14150.000,1268118.702,438.718,141.089,138.621,130.137,0.986,0.941,0.923,0.211,69.073
22,41296.000,6312854.519,756.181,236.947,233.293,225.420,0.989,0.966,0.908,442.000,1676.000,1,[26],16324.000,1568930.405,473.588,147.648,144.609,143.737,0.984,0.994,0.915,0.395,2.000
24,38552.000,5694219.053,729.068,226.636,222.698,220.497,0.990,0.990,0.911,458.000,1280.000,1,[28],15700.000,1479834.946,463.446,145.121,141.915,140.869,0.984,0.993,0.919,0.407,2.828
25,38304.000,5639362.257,725.553,228.123,223.825,217.960,0.990,0.973,0.914,460.000,234.000,1,[27],14580.000,1324341.798,444.132,140.982,138.536,134.006,0.986,0.967,0.929,0.381,0.000
26,34488.000,4817989.121,687.411,215.081,211.211,207.988,0.989,0.984,0.917,472.000,3698.000,1,[30],13852.000,1226401.081,434.960,136.499,133.180,132.436,0.984,0.994,0.920,0.402,2.000
27,39376.000,5877751.146,738.039,230.000,225.915,221.971,0.989,0.982,0.908,506.000,1948.000,1,[31],14936.000,1373141.389,453.789,141.549,138.521,137.297,0.982,0.991,0.911,0.379,0.000
28,42948.000,6695426.038,769.838,240.142,236.250,231.507,0.990,0.980,0.911,530.000,2458.000,1,[32],16656.000,1617036.670,474.759,149.907,146.784,144.480,0.987,0.984,0.929,0.388,0.000
29,39104.000,5816953.292,738.039,229.085,225.232,221.137,0.986,0.981,0.902,562.000,576.000,1,[33],15040.000,1387508.188,450.960,143.024,139.962,136.827,0.987,0.978,0.929,0.385,2.000
30,42524.000,6596521.230,769.151,237.655,234.240,231.171,0.989,0.987,0.903,578.000,1480.000,1,[34],16544.000,1600753.951,475.931,148.499,145.457,144.819,0.986,0.996,0.918,0.389,2.000
31,41860.000,6442621.777,759.210,236.415,231.612,230.181,0.990,0.994,0.913,612.000,3122.000,1,[35],16756.000,1631621.156,477.103,150.306,147.355,144.782,0.987,0.983,0.925,0.400,2.000
32,38108.000,5596133.097,727.897,226.813,220.919,219.707,0.987,0.994,0.904,672.000,1786.000,1,[38],15500.000,1451648.092,461.789,144.250,141.148,139.828,0.984,0.991,0.913,0.407,0.000
33,41904.000,6452782.426,764.181,236.178,232.736,229.286,0.989,0.985,0.902,674.000,2896.000,1,[37],16424.000,1583369.244,475.931,150.266,147.974,141.365,0.983,0.955,0.911,0.392,0.000
35,37188.000,5394709.132,715.897,222.648,219.384,215.875,0.990,0.984,0.912,682.000,1118.000,1,[39],14700.000,1340725.293,447.446,140.186,137.342,136.279,0.986,0.992,0.923,0.395,2.000
36,41080.000,6263389.972,749.838,236.947,232.014,225.523,0.990,0.972,0.918,688.000,3766.000,1,[41],16432.000,1584526.255,473.103,148.930,145.556,143.747,0.986,0.988,0.923,0.400,2.828
37,39732.000,5957642.520,739.009,230.868,228.631,221.291,0.990,0.968,0.914,694.000,306.000,1,[40],15380.000,1434822.913,456.617,144.900,141.893,138.028,0.986,0.973,0.927,0.387,2.000
38,37116.000,5379049.605,715.411,223.660,220.028,214.815,0.989,0.976,0.911,704.000,834.000,1,[42],15384.000,1435382.698,456.617,144.028,140.806,139.117,0.987,0.988,0.927,0.414,2.828
39,44888.000,7154168.814,788.181,245.308,241.067,237.137,0.989,0.983,0.908,720.000,2056.000,1,[43],17844.000,1793090.139,494.073,155.332,151.709,149.771,0.987,0.987,0.919,0.398,4.472
40,80752.000,17262104.101,1095.744,382.962,387.110,266.079,0.988,0.686,0.845,786.000,2598.000,2,"[44, 46]",17030.000,1672799.367,487.588,159.344,157.666,137.994,0.981,0.872,0.900,0.211,67.079
42,70392.000,14049108.201,997.117,311.878,302.790,296.177,0.988,0.978,0.890,832.000,598.000,1,[48],29912.000,3891633.905,643.127,198.957,195.622,194.702,0.988,0.995,0.909,0.425,0.000
43,41772.000,6422316.499,759.696,239.140,231.972,229.340,0.989,0.988,0.910,818.000,1446.000,1,[47],16220.000,1553960.857,470.274,147.078,144.080,143.338,0.986,0.995,0.922,0.388,2.000
45,41056.000,6257901.922,755.009,236.237,230.291,227.059,0.989,0.986,0.905,892.000,3650.000,1,[50],16184.000,1548790.246,471.931,147.851,144.955,142.160,0.984,0.981,0.913,0.394,0.000
46,42672.000,6630988.852,768.666,237.756,234.892,231.326,0.989,0.985,0.908,904.000,1748.000,1,[51],16592.000,1607725.532,477.588,148.661,145.776,144.927,0.985,0.994,0.914,0.389,2.000
47,43144.000,6741311.746,770.524,240.033,235.870,232.960,0.990,0.987,0.913,912.000,988.000,1,[52],16604.000,1609470.005,475.931,149.050,146.176,144.629,0.986,0.989,0.921,0.385,4.000
48,42140.000,6507371.444,759.009,238.076,233.181,230.155,0.990,0.987,0.919,928.000,2180.000,1,[53],16760.000,1632205.443,477.588,149.907,146.756,145.410,0.986,0.991,0.923,0.398,2.828
49,39256.000,5850902.590,732.867,228.569,224.033,223.133,0.991,0.996,0.918,960.000,358.000,1,[54],15088.000,1394155.811,454.274,143.178,139.993,137.231,0.984,0.980,0.919,0.384,2.828
50,41820.000,6433389.457,761.352,235.669,231.946,229.616,0.989,0.990,0.907,990.000,2984.000,1,[55],16828.000,1642148.981,477.588,150.479,147.093,145.674,0.988,0.990,0.927,0.402,2.000
51,36104.000,5160559.397,703.411,220.145,215.607,213.230,0.990,0.989,0.917,1004.000,3322.000,1,[56],14436.000,1304770.444,444.617,139.284,136.577,134.587,0.983,0.985,0.918,0.400,2.000
52,32324.000,4371711.030,667.612,207.663,203.109,202.661,0.989,0.998,0.911,1036.000,1398.000,1,[57],13256.000,1148107.472,424.818,133.462,130.148,129.695,0.984,0.996,0.923,0.410,2.000
53,43956.000,6932518.662,781.352,241.677,237.959,235.229,0.990,0.988,0.905,1060.000,1952.000,1,[58],17048.000,1674456.830,483.245,151.169,147.895,146.793,0.985,0.992,0.917,0.388,2.828
55,40228.000,6069549.567,743.897,232.422,228.261,224.441,0.990,0.983,0.914,1126.000,1658.000,1,[60],15564.000,1460648.219,461.103,144.997,141.636,139.920,0.985,0.988,0.920,0.387,2.000
56,65592.000,12636887.243,983.294,358.095,363.381,230.264,0.992,0.632,0.853,1140.000,1072.000,2,"[61, 62]",14540.000,1318906.389,444.132,142.377,139.987,132.370,0.987,0.946,0.926,0.222,69.360
57,41840.000,6438005.065,760.181,237.065,234.308,227.390,0.990,0.970,0.910,1154.000,2628.000,1,[63],16556.000,1602495.899,475.931,148.930,146.381,144.009,0.986,0.984,0.918,0.396,2.000
58,38788.000,5746585.606,732.382,232.215,228.012,216.658,0.990,0.950,0.909,1188.000,3458.000,1,[64],15352.000,1430906.455,456.617,145.231,142.097,137.560,0.986,0.968,0.925,0.396,2.000
59,38416.000,5664114.374,727.897,225.601,221.976,220.386,0.990,0.993,0.911,1226.000,2998.000,1,[65],15468.000,1447154.986,459.446,144.361,141.527,139.167,0.986,0.983,0.921,0.403,2.828
60,45512.000,7303864.059,793.151,246.130,242.079,239.414,0.991,0.989,0.909,1260.000,1334.000,1,[66],17612.000,1758234.573,491.245,153.375,150.320,149.183,0.985,0.992,0.917,0.387,4.472
61,74296.000,15233929.768,1061.602,382.173,388.334,244.169,0.990,0.627,0.828,1296.000,344.000,2,"[67, 71]",15336.000,1428848.674,458.860,146.674,144.548,135.376,0.986,0.937,0.915,0.206,74.348
63,40436.000,6116684.528,746.524,232.723,229.444,224.412,0.990,0.978,0.912,1294.000,3780.000,1,[70],16176.000,1547642.002,470.759,147.959,144.902,142.140,0.985,0.981,0.917,0.400,2.000
64,41092.000,6266134.598,756.181,236.254,232.705,224.875,0.990,0.966,0.903,1298.000,832.000,1,[69],15556.000,1459522.189,459.446,144.069,141.237,140.235,0.987,0.993,0.926,0.379,2.828
65,53824.000,9393506.818,864.063,267.918,262.171,261.431,0.991,0.997,0.906,1366.000,2762.000,1,[72],24120.000,2817927.112,575.328,179.644,176.347,174.160,0.988,0.988,0.916,0.448,2.000
66,34916.000,4907954.496,694.240,219.272,212.367,209.400,0.988,0.986,0.910,1368.000,1550.000,1,[73],14048.000,1252522.534,438.475,137.201,134.391,133.108,0.983,0.990,0.918,0.402,2.000
67,44572.000,7078756.657,799.495,254.951,240.526,236.294,0.983,0.981,0.876,1384.000,1830.000,1,[74],17080.000,1679173.608,484.416,151.327,148.268,146.683,0.985,0.989,0.915,0.383,2.000
68,44660.000,7099730.742,782.808,245.601,240.888,236.092,0.991,0.980,0.916,1404.000,614.000,1,[75],17124.000,1685666.395,484.416,151.539,148.278,147.049,0.985,0.992,0.917,0.383,2.828
69,73236.000,14909075.851,1009.803,312.525,307.189,303.606,0.991,0.988,0.903,1436.000,3348.000,1,[76],32956.000,4500549.488,672.583,210.647,206.813,202.896,0.989,0.981,0.915,0.450,4.000
70,34124.000,4741914.294,688.098,214.709,211.381,205.635,0.988,0.972,0.906,1450.000,1004.000,1,[77],13940.000,1238106.378,434.960,136.894,133.785,132.669,0.986,0.992,0.926,0.409,0.000
71,43456.000,6814569.461,775.495,239.550,235.360,235.121,0.989,0.999,0.908,1458.000,2470.000,1,[78],17380.000,1723607.830,487.245,152.971,149.796,147.741,0.987,0.986,0.920,0.400,2.000
72,34316.000,4781991.381,689.754,214.830,210.356,207.791,0.988,0.987,0.906,1500.000,2194.000,1,[79],13220.000,1143433.687,430.475,135.484,131.785,128.127,0.977,0.969,0.896,0.385,0.000
