cLabel,cArea,cVolum,cPerim,cFeret,cMajor,cMinor,cSolid,cRound,cCircl,cY,cX,csRatio,csDist,c_sLabel
9,14492.000,1312369.982,453.789,146.492,143.822,128.632,0.978,0.892,0.884,128.000,756.000,0.236,66.483,10
10,15752.000,1487193.077,465.304,149.893,145.374,138.227,0.985,0.949,0.914,170.000,462.000,0.393,5.657,11
13,15532.000,1456145.837,461.588,149.586,148.133,133.674,0.985,0.901,0.916,224.000,2094.000,0.227,65.605,12
14,13704.000,1206798.676,430.475,137.419,133.225,131.032,0.987,0.983,0.929,222.000,190.000,0.391,4.472,13
15,13272.000,1150186.749,428.132,134.536,130.876,129.200,0.982,0.987,0.910,242.000,1870.000,0.395,2.000,14
16,13280.000,1151226.857,432.818,137.201,131.321,129.195,0.975,0.980,0.891,256.000,738.000,0.216,62.801,10
17,14244.000,1278826.855,438.960,138.924,135.644,133.741,0.988,0.986,0.929,310.000,2204.000,0.208,74.027,12
18,15392.000,1436502.487,459.446,143.388,140.559,139.433,0.985,0.992,0.916,328.000,990.000,0.385,0.000,15
19,15068.000,1391384.681,452.617,143.178,139.708,137.332,0.986,0.983,0.924,332.000,3134.000,0.391,0.000,16
20,15592.000,1464591.602,459.446,144.471,141.202,140.597,0.987,0.996,0.928,346.000,1664.000,0.393,2.000,17
21,16056.000,1530452.445,467.931,147.526,144.238,141.740,0.986,0.983,0.921,390.000,1348.000,0.390,2.000,18
22,14580.000,1324341.798,445.304,140.186,137.572,134.945,0.987,0.981,0.924,446.000,248.000,0.370,2.828,19
23,16448.000,1586841.121,473.103,147.959,144.893,144.537,0.986,0.998,0.923,464.000,2778.000,0.390,2.000,20
24,15640.000,1471359.926,461.789,146.123,143.055,139.211,0.985,0.973,0.922,470.000,3690.000,0.396,2.000,21
25,14572.000,1323251.954,444.617,140.014,136.758,135.670,0.986,0.992,0.926,494.000,1846.000,0.390,2.828,22
26,17132.000,1686847.799,483.931,151.380,148.194,147.201,0.986,0.993,0.919,506.000,2532.000,0.382,2.828,23
27,15060.000,1390276.744,454.274,142.618,139.530,137.434,0.983,0.985,0.917,518.000,2082.000,0.399,2.000,24
28,13984.000,1243972.911,436.132,137.084,133.838,133.044,0.985,0.994,0.924,550.000,2302.000,0.402,2.828,26
29,26884.000,3315924.475,611.328,190.882,186.345,183.817,0.985,0.986,0.904,560.000,754.000,0.430,4.472,25
30,15312.000,1425317.708,458.274,144.028,140.849,138.425,0.984,0.983,0.916,560.000,458.000,0.381,2.000,27
32,16308.000,1566624.285,469.103,150.479,145.416,142.840,0.988,0.982,0.931,584.000,1086.000,0.382,4.472,29
33,17212.000,1698677.000,485.588,151.327,148.414,147.674,0.985,0.995,0.917,596.000,1494.000,0.376,2.000,30
34,15252.000,1416948.270,457.789,143.388,140.551,138.201,0.982,0.983,0.915,602.000,3108.000,0.377,2.828,31
35,14232.000,1277211.155,440.132,138.752,135.671,133.570,0.985,0.984,0.923,622.000,3410.000,0.372,0.000,32
36,13316.000,1155911.222,426.960,134.462,131.176,129.277,0.983,0.985,0.918,682.000,3816.000,0.408,2.828,33
37,12804.000,1089889.073,416.132,131.590,128.463,126.956,0.986,0.988,0.929,696.000,154.000,0.390,2.000,34
38,14456.000,1307482.876,444.132,139.542,136.265,135.081,0.985,0.991,0.921,704.000,1752.000,0.398,2.000,35
39,16580.000,1605981.690,476.617,150.000,145.596,145.013,0.986,0.996,0.917,716.000,2884.000,0.391,2.828,36
40,15664.000,1474747.987,463.446,144.554,141.935,140.519,0.985,0.990,0.916,742.000,2648.000,0.381,0.000,37
41,16556.000,1602495.899,474.759,148.661,145.467,144.913,0.986,0.996,0.923,750.000,1304.000,0.386,0.000,38
42,18760.000,1932916.313,506.073,158.619,155.329,153.779,0.987,0.990,0.920,776.000,2140.000,0.391,0.000,39
43,15068.000,1391384.681,454.274,143.388,140.225,136.828,0.984,0.976,0.918,782.000,956.000,0.402,0.000,40
45,15416.000,1439863.600,457.789,144.180,141.440,138.785,0.986,0.981,0.924,826.000,726.000,0.394,2.000,43
46,17088.000,1680353.494,482.759,152.013,148.337,146.685,0.986,0.989,0.921,830.000,3236.000,0.387,2.000,41
47,13432.000,1171048.346,427.647,135.248,132.182,129.402,0.985,0.979,0.923,832.000,1528.000,0.401,2.828,44
48,16320.000,1568353.769,471.446,148.930,145.623,142.698,0.986,0.980,0.923,854.000,318.000,0.389,2.000,45
49,15880.000,1505357.142,463.446,146.164,143.356,141.047,0.987,0.984,0.929,860.000,3482.000,0.383,2.000,46
50,16168.000,1546494.041,469.103,147.851,144.882,142.097,0.987,0.981,0.923,920.000,1942.000,0.405,2.000,47
52,14852.000,1361573.879,453.103,146.014,144.110,131.347,0.983,0.911,0.909,960.000,528.000,0.221,68.118,51
53,17616.000,1758833.596,492.416,153.114,150.170,149.371,0.984,0.995,0.913,958.000,2538.000,0.393,2.000,48
54,18212.000,1848843.977,499.730,156.678,152.916,151.663,0.985,0.992,0.916,960.000,2934.000,0.389,2.000,50
55,16624.000,1612378.860,477.103,149.466,146.456,144.533,0.986,0.987,0.918,974.000,1708.000,0.379,0.000,52
56,15420.000,1440424.040,458.274,144.554,141.318,138.954,0.987,0.983,0.923,988.000,1056.000,0.396,2.000,53
57,16984.000,1665036.552,479.931,152.801,149.689,144.468,0.988,0.965,0.927,998.000,3770.000,0.386,2.000,54
58,13632.000,1197300.507,429.990,137.084,134.778,128.825,0.986,0.955,0.927,1014.000,2178.000,0.211,66.121,55
59,16800.000,1638052.145,477.588,149.586,146.302,146.207,0.987,0.999,0.926,1020.000,1354.000,0.406,2.000,56
60,14004.000,1246642.571,437.304,143.178,141.251,126.304,0.986,0.894,0.920,1022.000,2310.000,0.217,66.121,55
61,14640.000,1332525.152,448.617,140.656,137.741,135.350,0.984,0.982,0.914,1064.000,614.000,0.218,66.843,51
62,23180.000,2654813.074,563.529,175.727,172.890,170.719,0.988,0.987,0.917,1080.000,3180.000,0.445,2.000,57
63,15636.000,1470795.502,465.588,148.189,145.531,136.855,0.982,0.940,0.906,1086.000,3426.000,0.217,74.404,59
65,16084.000,1534457.615,467.446,147.959,145.079,141.163,0.987,0.973,0.925,1108.000,202.000,0.395,2.000,60
66,17628.000,1760631.076,491.245,154.932,151.233,148.435,0.986,0.981,0.918,1126.000,2748.000,0.400,2.000,61
67,16388.000,1578166.183,475.245,154.052,152.109,137.417,0.985,0.902,0.912,1170.000,3540.000,0.227,67.201,59
68,15952.000,1515606.683,469.103,146.014,142.923,142.127,0.983,0.994,0.911,1180.000,2024.000,0.382,2.000,62
69,14364.000,1295021.250,442.274,139.943,137.803,132.740,0.985,0.963,0.923,1180.000,2470.000,0.223,70.711,63
70,14216.000,1275057.947,440.617,138.852,135.211,133.891,0.984,0.990,0.920,1194.000,1792.000,0.411,2.000,65
71,15896.000,1507632.814,466.759,145.890,143.122,141.414,0.985,0.988,0.917,1194.000,936.000,0.386,2.000,64
72,15524.000,1455020.966,457.789,144.997,141.619,139.576,0.989,0.986,0.931,1204.000,424.000,0.401,2.828,66
73,12716.000,1078672.431,415.647,131.042,128.382,126.124,0.985,0.982,0.925,1208.000,2980.000,0.405,0.000,67
75,14088.000,1257875.953,439.931,145.066,143.702,125.078,0.986,0.869,0.915,1234.000,3760.000,0.225,66.603,69
76,15384.000,1435382.698,459.446,143.736,140.555,139.369,0.983,0.991,0.916,1248.000,1552.000,0.400,2.000,70
77,16008.000,1523594.561,466.759,146.860,143.510,142.043,0.985,0.990,0.923,1290.000,1272.000,0.228,65.115,71
78,13684.000,1204157.787,430.960,137.928,135.491,128.654,0.985,0.949,0.926,1286.000,2572.000,0.212,76.420,63
79,15888.000,1506494.835,466.759,148.189,145.698,138.979,0.986,0.953,0.916,1298.000,2266.000,0.216,69.971,72
80,15680.000,1477008.137,461.789,144.997,141.627,140.972,0.986,0.995,0.924,1304.000,676.000,0.401,2.000,74
81,16236.000,1556260.749,469.588,147.580,144.038,143.521,0.987,0.996,0.925,1302.000,3322.000,0.386,4.000,73
82,13372.000,1163210.603,425.990,135.248,131.822,129.172,0.986,0.980,0.926,1320.000,3866.000,0.213,70.000,69
83,14356.000,1293939.512,445.103,145.437,144.157,127.001,0.983,0.880,0.911,1388.000,1168.000,0.204,77.795,71
84,16224.000,1554535.724,470.274,147.092,144.221,143.234,0.986,0.993,0.922,1396.000,2864.000,0.393,2.000,75
85,16576.000,1605400.550,475.931,149.586,146.504,144.076,0.985,0.983,0.920,1406.000,3106.000,0.388,4.472,78
86,14276.000,1283138.716,441.789,138.752,135.783,133.871,0.985,0.986,0.919,1404.000,216.000,0.390,2.000,77
87,16144.000,1543051.864,472.416,150.479,148.846,138.214,0.983,0.928,0.909,1410.000,3544.000,0.207,76.837,79
88,15952.000,1515606.683,468.416,151.327,150.268,135.469,0.986,0.899,0.914,1420.000,2196.000,0.217,70.711,72
89,17468.000,1736715.079,490.073,152.971,149.653,148.623,0.985,0.993,0.914,1440.000,1942.000,0.393,2.828,80
90,16864.000,1647421.352,479.931,150.053,146.767,146.310,0.985,0.997,0.920,1442.000,926.000,0.383,2.000,81
91,15348.000,1430347.252,461.789,147.851,143.836,135.973,0.982,0.945,0.904,1458.000,1704.000,0.387,2.000,82
92,15272.000,1419736.257,456.617,143.388,140.382,138.584,0.986,0.987,0.920,1454.000,1442.000,0.392,2.000,83
93,15240.000,1415276.354,458.960,144.069,140.303,138.456,0.982,0.986,0.909,1464.000,2446.000,0.389,2.828,84
94,15428.000,1441545.138,457.789,144.180,141.211,139.109,0.987,0.985,0.925,1496.000,480.000,0.392,4.472,85
95,15936.000,1513327.004,468.902,151.921,147.493,137.857,0.985,0.933,0.911,1504.000,3660.000,0.204,72.471,79
97,17180.000,1693942.013,484.416,151.539,148.121,147.683,0.985,0.997,0.920,1542.000,2672.000,0.401,2.000,87
99,14936.000,1373141.389,451.446,141.662,138.451,137.359,0.985,0.992,0.921,1550.000,706.000,0.390,4.000,89
100,16204.000,1551662.099,470.274,147.513,144.674,142.607,0.985,0.986,0.921,1572.000,3330.000,0.390,2.000,90
101,15808.000,1495130.810,465.103,145.231,142.584,141.165,0.985,0.990,0.918,1610.000,1230.000,0.368,0.000,91
102,14796.000,1353880.348,449.789,141.365,138.134,136.388,0.985,0.987,0.919,1618.000,2884.000,0.506,2.828,92
103,13140.000,1133070.279,421.990,133.147,129.722,128.991,0.986,0.994,0.927,1656.000,2106.000,0.210,70.228,94
104,15864.000,1503082.616,465.103,145.602,142.762,141.487,0.986,0.991,0.922,1658.000,3096.000,0.393,2.828,93
105,15880.000,1505357.142,465.103,145.561,142.585,141.806,0.986,0.995,0.922,1668.000,1868.000,0.411,0.000,95
106,14380.000,1297185.631,441.789,138.924,136.254,134.375,0.986,0.986,0.926,1668.000,278.000,0.401,2.828,96
107,16508.000,1595531.896,477.588,148.661,145.812,144.155,0.983,0.989,0.909,1680.000,988.000,0.381,2.000,97
108,16200.000,1551087.586,471.931,147.078,143.908,143.336,0.983,0.996,0.914,1690.000,2370.000,0.385,2.000,98
109,17304.000,1712314.601,485.588,151.855,148.616,148.251,0.986,0.998,0.922,1700.000,1612.000,0.375,2.828,99
110,13808.000,1220562.346,434.475,136.059,132.720,132.496,0.984,0.998,0.919,1728.000,3710.000,0.411,2.000,100
111,15808.000,1495130.810,465.103,145.890,142.525,141.245,0.985,0.991,0.918,1762.000,3482.000,0.386,2.828,101
112,15436.000,1442666.526,458.274,144.069,140.983,139.413,0.986,0.989,0.924,1768.000,2594.000,0.397,2.828,102
113,12384.000,1036705.053,416.818,133.417,131.994,119.883,0.976,0.905,0.896,1782.000,600.000,0.157,94.021,103
114,14760.000,1348942.185,452.617,144.014,141.725,132.653,0.983,0.936,0.905,1778.000,2152.000,0.236,60.166,94
115,17208.000,1698084.885,485.588,151.420,148.306,147.737,0.986,0.996,0.917,1846.000,3254.000,0.382,2.828,104
116,21316.000,2341112.952,543.044,173.078,170.885,158.940,0.986,0.929,0.908,1844.000,738.000,0.271,57.271,103
117,26256.000,3200417.569,602.843,191.269,189.163,176.829,0.988,0.934,0.908,1874.000,1198.000,0.290,59.464,105
118,16408.000,1581056.068,477.588,148.930,146.400,142.919,0.980,0.975,0.904,1866.000,2834.000,0.375,2.828,106
119,13244.000,1146548.838,423.647,134.893,131.632,128.115,0.985,0.973,0.927,1884.000,3856.000,0.401,2.000,107
122,26880.000,3315184.451,607.328,190.683,187.683,182.365,0.989,0.972,0.916,1920.000,1774.000,0.432,0.000,108
123,13980.000,1243439.208,434.960,141.873,139.778,127.433,0.987,0.911,0.929,1926.000,374.000,0.164,97.201,112
124,13916.000,1234910.350,436.132,139.270,137.308,129.128,0.986,0.940,0.919,1926.000,1044.000,0.154,103.092,105
125,28436.000,3607169.570,623.127,195.489,192.158,188.431,0.989,0.981,0.920,1952.000,1482.000,0.424,2.000,111
126,16924.000,1656221.146,483.245,150.864,147.671,145.929,0.982,0.988,0.911,1956.000,3638.000,0.391,2.828,113
127,13572.000,1189404.498,434.274,139.169,136.170,127.282,0.983,0.932,0.904,1984.000,2502.000,0.154,95.603,115
128,26124.000,3176313.152,600.500,188.043,184.269,180.527,0.987,0.980,0.910,2010.000,2054.000,0.419,2.000,114
129,23836.000,2768304.543,572.500,181.472,179.295,169.371,0.987,0.944,0.914,2020.000,498.000,0.280,58.412,112
130,16992.000,1666213.118,481.588,151.605,148.292,145.913,0.986,0.984,0.921,2032.000,3098.000,0.379,2.828,116
131,15312.000,1425317.708,458.759,143.736,140.276,138.990,0.983,0.991,0.914,2038.000,3402.000,0.385,2.000,117
132,25304.000,3027942.116,589.470,190.032,188.520,171.122,0.989,0.907,0.915,2074.000,2626.000,0.286,57.689,115
133,15548.000,1458396.449,462.274,147.959,144.501,137.117,0.985,0.948,0.914,2102.000,2298.000,0.391,2.828,119
134,13484.000,1177855.234,428.132,134.239,131.445,130.623,0.986,0.994,0.924,2100.000,3884.000,0.400,2.828,120
135,22880.000,2603441.542,559.529,174.195,171.097,170.265,0.988,0.995,0.918,2112.000,770.000,0.413,0.000,118
136,14720.000,1343462.397,446.960,141.209,138.171,135.667,0.986,0.982,0.926,2110.000,2876.000,0.394,2.000,121
137,15036.000,1386954.698,452.617,144.069,140.913,135.866,0.985,0.964,0.922,2118.000,222.000,0.212,73.593,122
138,14532.000,1317807.224,445.304,143.388,140.757,131.552,0.986,0.934,0.921,2122.000,1270.000,0.184,92.282,123
139,15472.000,1447716.371,467.446,147.851,145.397,136.057,0.977,0.932,0.890,2156.000,1024.000,0.210,70.228,124
141,16028.000,1526450.765,466.274,146.820,143.388,142.329,0.988,0.993,0.926,2184.000,1856.000,0.381,2.000,126
